Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
144,144,Sep 9,,HOU,W6-5,41,37,6,14,2,0,1,6,3,0,5,0,0,1,0,2,0,0,.269,.338,.454,.792,9,14,L,D.Keuchel (34)
145,145,Sep 11,,TOR,W7-2,34,30,7,7,1,1,1,6,4,0,6,0,0,0,0,1,1,0,.269,.338,.454,.792,3,12,L,R.Borucki (62)
146,146,Sep 12,,TOR,W1-0,31,26,1,4,1,0,0,0,5,0,6,0,0,0,0,1,3,0,.268,.338,.453,.790,6,9,R,A.Sanchez (70)
147,147,Sep 13,,TOR,W4-3,35,33,4,9,3,0,2,3,1,0,7,0,0,1,1,0,3,0,.268,.338,.453,.791,7,12,R,S.Gaviglio (40)
148,148,Sep 14,,NYM,L0-8,33,30,0,4,0,0,0,0,3,0,8,0,0,0,0,0,3,0,.268,.337,.451,.788,6,13,R,N.Syndergaard (74)
149,149,Sep 15,,NYM,W5-3,39,34,5,10,2,0,0,5,4,1,9,1,0,0,2,2,1,0,.268,.337,.451,.788,10,11,R,C.Oswalt (52)
150,150,Sep 16,,NYM,W4-3,31,28,4,6,2,0,1,4,1,0,13,0,0,2,0,0,1,0,.267,.337,.450,.787,3,10,R,J.deGrom (66)
151,151,Sep 18,@,NYY,L2-3,37,32,2,5,1,1,0,2,4,0,7,0,0,1,2,1,0,0,.267,.336,.449,.785,8,13,L,J.Happ (65)
152,152,Sep 19,@,NYY,L1-10,37,35,1,9,1,0,0,1,2,0,7,0,0,0,0,1,0,0,.267,.336,.448,.784,9,15,R,L.Severino (66)
153,153,Sep 20,@,NYY,W11-6,43,38,11,13,3,0,3,9,4,1,12,0,0,1,0,1,1,0,.267,.336,.450,.786,5,13,R,M.Tanaka (29)
154,154,Sep 21,@,CLE,W7-5,39,35,7,13,1,0,3,7,4,0,3,0,0,0,0,4,0,0,.268,.337,.451,.788,5,10,R,T.Bauer (50)
155,155,Sep 22,@,CLE,L4-5,47,40,4,8,1,0,2,4,6,0,11,1,0,0,1,0,0,1,.267,.337,.450,.787,10,12,R,M.Clevinger (54)
156,156,Sep 23,@,CLE,L3-4,49,40,3,8,3,0,1,2,7,1,7,1,1,0,0,0,0,0,.267,.337,.450,.786,13,12,R,A.Plutko (49)
157,157,Sep 24,,BAL,W6-2,38,33,6,10,2,0,1,6,5,0,7,0,0,0,0,1,2,0,.267,.337,.450,.787,8,9,R,D.Bundy (35)
158,158,Sep 26 (1),,BAL,W19-3,48,45,19,22,9,0,5,19,3,0,7,0,0,0,0,1,1,0,.269,.338,.454,.793,5,13,R,R.Meisinger (22)
159,159,Sep 26 (2),,BAL,L3-10,39,34,3,6,1,1,0,2,5,0,6,0,0,0,1,0,1,0,.268,.338,.453,.791,9,9,R,J.Yacabonis (44)
160,160,Sep 28,,NYY,L6-11,41,34,6,6,1,0,1,6,7,0,9,0,0,0,1,0,0,0,.268,.338,.452,.790,8,12,L,J.Happ (53)
161,161,Sep 29,,NYY,L5-8,43,37,5,10,4,0,1,5,5,0,14,1,0,0,0,0,3,0,.268,.338,.452,.790,11,12,R,D.German (46)
162,162,Sep 30,,NYY,W10-2,42,37,10,13,5,0,2,8,5,0,11,0,0,0,0,1,0,0,.268,.339,.453,.792,8,17,R,L.Cessa (27)
