Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
13,13,Apr 12,@,BOS,L3-6,8.0,8,6,6,0,3,9,0,1,4.69,38,139,89,1,0,0,0,33,2,0,0,0,1,0,0,4,Chris Guccione,S.Gray (4-22-L) D.German (3) T.Kahnle (1) A.Warren (3)
14,14,Apr 13,@,DET,W8-6,9.0,12,6,6,0,0,11,2,0,4.78,39,161,108,3,1,0,0,38,3,0,0,0,1,0,0,5,Fieldin Culbreth,J.Montgomery (4-54-W) D.Robertson (1) D.Betances (4) C.Green (1-H) A.Chapman (1-Sv)
15,15,Apr 16,,MIA,W12-1,9.0,5,1,0,1,4,13,0,0,4.47,37,172,106,0,0,0,0,33,1,0,0,0,0,1,0,4,Lance Barrett,L.Severino (5-77-W) A.Warren (3) C.Shreve (5) D.Betances (2)
16,16,Apr 17,,MIA,L1-9,9.0,10,9,7,2,3,11,1,1,4.62,40,137,93,2,1,0,0,35,1,0,0,0,1,2,3,4,Nic Lentz,M.Tanaka (5-32-L) L.Cessa (6) C.Green (3) D.Robertson (3)
17,17,Apr 19,,TOR,W4-3,9.0,6,3,1,2,3,9,0,1,4.41,38,142,93,1,0,0,0,34,0,0,0,0,0,1,0,5,Ted Barrett,C.Sabathia (12-51) C.Green (1-W) D.Betances (2-H) D.Robertson (1-H) A.Chapman (5-Sv)
18,18,Apr 20,,TOR,L5-8,9.0,9,8,8,0,9,7,2,0,4.61,45,176,99,3,0,0,0,36,2,0,0,0,0,0,0,4,Lance Barksdale,S.Gray (7-26) D.German (7-L) A.Warren (3) C.Shreve (3)
19,19,Apr 21,,TOR,W9-1,9.0,4,1,1,0,3,9,0,0,4.42,34,126,78,0,0,0,0,31,0,0,0,0,0,0,0,3,Will Little,J.Montgomery (7-62-W) C.Shreve (0) J.Holder (14)
20,20,Apr 22,,TOR,W5-1,9.0,4,1,1,0,4,8,1,1,4.26,35,147,91,0,0,1,0,30,1,0,0,0,0,0,1,3,Tom Woodring,L.Severino (5-71-W) D.Robertson (2) A.Chapman (2)
21,21,Apr 23,,MIN,W14-1,9.0,6,1,1,0,3,8,0,1,4.10,37,144,88,1,0,0,0,32,2,0,0,1,0,0,0,3,Sam Holbrook,M.Tanaka (5-67-W) C.Green (3) D.Hale (99)
22,22,Apr 24,,MIN,W8-3,9.0,5,3,1,2,3,9,0,0,3.97,35,147,88,2,0,0,1,32,3,0,0,0,0,1,0,5,Ryan Blakney,C.Sabathia (4-69-W) D.Betances (4) D.Robertson (1-H) C.Shreve (2) J.Holder (2)
23,23,Apr 25,,MIN,W7-4,9.0,10,4,4,0,6,9,1,0,3.97,42,169,104,6,0,0,1,36,1,0,0,0,0,0,0,5,Jim Wolf,S.Gray (4-39) C.Green (1-W) C.Shreve (0-H) D.Robertson (0-H) A.Chapman (2-Sv)
24,24,Apr 26,,MIN,W4-3,9.0,8,3,3,0,4,12,2,0,3.93,39,166,113,0,0,0,0,35,1,0,0,0,0,0,0,3,D.J. Reyburn,J.Montgomery (4-54) D.German (5) D.Betances (1-W)
