Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
140,140,Sep 6,@,TOR,W9-4,9.0,11,4,3,1,2,9,0,0,3.79,38,133,93,3,0,0,0,36,5,0,0,0,0,1,3,5,Chad Whitson,S.Bieber (4-50-W) T.Olson (3) A.Cimber (1-H) C.Allen (0-H) D.Otero (2)
141,141,Sep 7,@,TOR,L2-3,10.1,9,3,2,1,1,20,1,1,3.77,42,157,114,0,0,1,1,39,3,0,0,0,1,1,0,5,Alan Porter,C.Carrasco (4-77) O.Perez (1) N.Ramirez (3) B.Hand (1) A.Cimber (0-L)
142,142,Sep 8,@,TOR,W9-8,9.0,18,8,8,0,2,7,3,0,3.80,47,179,122,7,0,0,0,45,8,0,1,0,0,0,0,7,Angel Hernandez,A.Plutko (4-30) D.Otero (1) T.Olson (1) N.Ramirez (0-H) O.Perez (0-H) J.Tomlin (5-W) C.Allen (1-Sv)
143,143,Sep 9,@,TOR,L2-6,8.0,6,6,5,1,2,11,2,0,3.81,33,138,93,0,0,1,0,31,2,0,0,0,0,1,0,3,Todd Tichenor,M.Clevinger (4-59-L) J.Edwards (5) A.Cimber (1)
144,144,Sep 10,@,TBR,L5-6,8.2,8,6,6,0,5,16,2,1,3.83,39,179,108,3,0,1,1,33,2,1,1,0,0,0,0,8,Carlos Torres,C.Kluber (4-32) T.Olson (1) O.Perez (1) D.Otero (1) A.Miller (14) N.Ramirez (1-H) C.Allen (1-H) B.Hand (2-BL)
145,145,Sep 11,@,TBR,W2-0,9.0,4,0,0,0,4,13,0,0,3.80,35,136,83,2,0,1,0,31,1,0,0,0,0,0,0,3,Mark Carlson,S.Bieber (4-76-W) B.Hand (0-H) C.Allen (0-Sv)
146,146,Sep 12,@,TBR,L1-3,8.0,7,3,3,0,2,7,1,0,3.80,33,113,71,0,0,2,0,30,0,2,0,0,1,0,0,2,Paul Nauert,C.Carrasco (4-56-L) A.Miller (1)
147,147,Sep 14,,DET,L4-5,9.0,11,5,5,0,2,7,1,0,3.81,39,137,97,2,1,1,0,36,5,0,0,1,0,0,1,7,Jeremie Rehak,J.Tomlin (5-45) J.Edwards (4) T.Olson (3) A.Cimber (4-L) A.Miller (1) N.Ramirez (3) D.Otero (3)
148,148,Sep 15,,DET,W15-0,9.0,2,0,0,0,4,9,0,0,3.78,32,138,89,1,0,0,0,28,0,0,0,0,0,0,0,5,Mark Wegner,M.Clevinger (5-72-W) O.Perez (4) A.Cimber (0) C.Allen (3) B.Hand (3)
149,149,Sep 16,,DET,L4-6,9.0,12,6,6,0,0,6,2,0,3.79,39,140,100,0,0,2,0,38,0,0,0,0,1,0,0,4,Andy Fletcher,S.Bieber (4-38-L) A.Miller (1) J.Edwards (1) A.Plutko (7)
150,150,Sep 18,,CHW,W5-3,9.0,9,3,3,0,2,14,2,0,3.79,39,126,88,0,0,0,0,37,3,0,0,0,0,0,0,2,Mike Muchlinski,C.Kluber (7-63-W) A.Miller (1-Sv)
151,151,Sep 19,,CHW,W4-1,9.0,5,1,1,0,2,15,1,0,3.77,37,152,96,2,0,0,0,35,0,0,0,0,0,2,0,5,Mike Winters,C.Carrasco (6-72) A.Miller (0) B.Hand (3) A.Cimber (3) O.Perez (3-W)
152,152,Sep 20,,CHW,L4-5,11.0,11,5,5,0,5,12,1,2,3.77,52,183,122,2,0,0,0,44,2,0,2,1,0,1,0,8,Ryan Blakney,J.Tomlin (5-32) T.Olson (5) D.Otero (5) O.Perez (0) N.Ramirez (5) J.Edwards (3) B.Hand (0) A.Cimber (0-L)
153,153,Sep 21,,BOS,L5-7,9.0,13,7,7,0,4,3,3,0,3.79,39,150,93,4,1,0,0,35,1,0,0,0,0,0,4,5,Jordan Baker,T.Bauer (40-50) T.Olson (0) S.Bieber (4-L) N.Ramirez (0) D.Otero (0)
154,154,Sep 22,,BOS,W5-4,11.0,8,4,4,0,6,11,2,1,3.79,47,191,121,1,1,0,1,40,1,0,0,0,0,1,0,6,Greg Gibson,M.Clevinger (6-54) O.Perez (1-H) A.Miller (2-H) B.Hand (1-BSv) J.Edwards (1) T.Olson (0-W)
155,155,Sep 23,,BOS,W4-3,11.0,8,3,3,0,7,7,1,1,3.78,49,201,125,2,0,0,0,40,3,0,1,1,0,0,0,6,Vic Carapazza,A.Plutko (6-49) D.Otero (1) J.Edwards (0) N.Ramirez (1) A.Cimber (2) J.Tomlin (2-W)
156,156,Sep 24,@,CHW,W4-0,9.0,4,0,0,0,1,15,0,0,3.76,32,137,94,0,0,0,0,31,0,0,0,0,0,0,0,3,Manny Gonzalez,C.Kluber (5-79-W) A.Miller (1-H) C.Allen (8)
157,157,Sep 25,@,CHW,L4-5,8.1,9,5,5,0,4,12,1,0,3.77,39,141,95,0,0,0,0,34,1,0,0,1,0,1,0,2,Andy Fletcher,T.Bauer (3-48) C.Carrasco (5-L)
158,158,Sep 26,@,CHW,W10-2,9.0,6,2,2,0,3,13,0,1,3.75,37,152,100,3,1,0,0,33,1,0,0,0,0,0,0,5,Jeff Nelson,S.Bieber (4-75-W) C.Allen (1) B.Hand (3) O.Perez (3) A.Cimber (2)
159,159,Sep 27,@,KCR,L1-2,9.2,8,2,2,0,2,9,1,1,3.74,40,153,108,2,0,3,0,37,1,0,0,0,0,0,0,6,Chad Fairchild,J.Tomlin (3-57) A.Miller (2) D.Otero (3) J.Edwards (3) T.Olson (4) N.Ramirez (3-L)
160,160,Sep 28,@,KCR,W14-6,9.0,7,6,6,0,3,7,1,0,3.76,37,157,98,4,4,0,0,34,3,0,0,0,0,0,0,4,Kerwin Danley,M.Clevinger (5-69-W) A.Cimber (1) C.Allen (1) A.Plutko (4)
161,161,Sep 29,@,KCR,L4-9,8.0,16,9,9,0,5,9,1,0,3.79,45,161,107,4,1,3,0,40,2,0,0,0,0,0,0,6,Mike Estabrook,C.Kluber (4-45) A.Miller (1-L) D.Otero (1) C.Allen (0) O.Perez (2) B.Hand (2)
162,162,Sep 30,@,KCR,W2-1,9.0,5,1,1,0,2,8,0,0,3.77,34,128,79,0,0,3,0,32,0,0,0,0,0,0,0,2,Bruce Dreckman,C.Carrasco (4-61-W) T.Bauer (4-Sv)
