Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
87,87,Jul 6,,MIA,W3-2,36,31,3,8,0,0,1,3,5,0,2,0,0,0,0,0,1,1,.241,.320,.400,.719,9,17,R,D.Straily (52)
88,88,Jul 7,,MIA,W18-4,45,40,18,17,3,0,3,18,4,1,3,0,0,1,0,0,0,0,.244,.322,.404,.726,3,13,L,W.Chen (22)
89,89,Jul 8,,MIA,L2-10,42,32,2,5,1,0,0,2,9,1,14,0,0,1,0,0,0,0,.243,.322,.402,.724,13,17,R,T.Richards (43)
90,90,Jul 9,@,PIT,L3-6,36,36,3,10,1,0,2,3,0,0,11,0,0,0,0,1,0,0,.243,.322,.403,.724,6,15,R,I.Nova (46)
91,91,Jul 10,@,PIT,W5-1,42,37,5,12,2,0,1,5,4,0,13,1,0,0,0,1,0,0,.244,.323,.403,.726,10,16,R,J.Musgrove (57)
92,92,Jul 11,@,PIT,L0-2,35,31,0,5,1,0,0,0,4,0,8,0,0,0,0,1,0,0,.244,.322,.401,.723,8,12,R,T.Williams (59)
93,93,Jul 12,@,NYM,W5-4,41,37,5,11,1,0,3,5,3,0,8,0,1,0,0,0,1,0,.244,.322,.403,.725,9,12,L,S.Matz (47)
94,94,Jul 13,@,NYM,L2-4,37,32,2,8,1,1,1,2,4,0,6,0,1,0,0,1,1,0,.244,.322,.403,.726,8,14,R,N.Syndergaard (50)
95,95,Jul 14,@,NYM,L4-7,36,34,4,8,1,0,1,4,2,0,8,0,0,0,0,1,0,0,.244,.322,.403,.725,5,14,R,Z.Wheeler (52)
96,96,Jul 15,@,NYM,W6-1,38,32,6,8,0,0,0,6,3,0,3,2,1,0,0,1,1,1,.244,.322,.401,.724,5,15,R,C.Oswalt (60)
97,97,Jul 20,,ATL,L5-8,38,34,5,8,1,0,3,4,3,0,10,0,1,0,0,0,2,0,.244,.322,.403,.725,6,15,R,A.Sanchez (53)
98,98,Jul 22,,ATL,W6-2,42,39,6,15,2,1,1,6,3,0,8,0,0,0,0,0,1,0,.246,.323,.405,.728,12,16,R,M.Foltynewicz (37)
99,99,Jul 23,@,MIL,L1-6,36,33,1,5,0,0,1,1,2,0,13,1,0,0,2,1,0,0,.245,.322,.403,.725,8,15,R,J.Chacin (70)
100,100,Jul 24,@,MIL,L4-5,40,38,4,8,2,0,1,4,2,0,8,0,0,0,1,0,0,1,.244,.321,.402,.724,6,18,R,J.Guerra (56)
101,101,Jul 25,@,MIL,W7-3,36,31,7,4,0,0,2,6,4,0,8,1,0,0,0,0,0,0,.243,.321,.402,.722,2,13,R,F.Peralta (39)
102,102,Jul 26,@,MIA,W10-3,47,37,10,13,5,2,2,10,9,3,6,1,0,0,0,1,0,0,.245,.323,.405,.728,10,16,R,D.Straily (50)
103,103,Jul 27,@,MIA,W9-1,47,39,9,16,3,1,1,8,5,1,6,1,1,1,0,1,0,0,.246,.325,.408,.732,11,14,R,P.Lopez (36)
104,104,Jul 28,@,MIA,L1-2,37,33,1,5,0,0,0,1,3,0,9,1,0,0,0,2,3,0,.246,.324,.405,.729,6,17,R,T.Richards (72)
105,105,Jul 29,@,MIA,L0-5,33,27,0,2,0,0,0,0,5,0,9,1,0,0,0,1,0,1,.244,.323,.403,.726,6,13,R,J.Urena (71)
106,106,Jul 31,,NYM,W25-4,59,50,25,26,5,2,5,25,8,1,6,1,0,0,0,0,2,0,.248,.327,.411,.738,10,14,L,S.Matz (9)
107,107,Aug 1,,NYM,W5-3,35,32,5,7,3,0,1,5,2,1,4,0,0,1,2,0,4,0,.248,.326,.411,.738,6,14,R,N.Syndergaard (56)
108,108,Aug 2,,CIN,W10-4,41,30,10,10,0,0,2,10,7,1,5,1,2,1,0,1,2,0,.248,.328,.412,.740,7,13,R,T.Mahle (21)
109,109,Aug 4 (1),,CIN,L1-7,36,33,1,7,3,0,0,1,2,0,4,1,0,0,0,1,0,0,.248,.327,.411,.738,8,14,R,A.DeSclafani (62)
110,110,Aug 4 (2),,CIN,W6-2,39,32,6,10,5,0,1,6,4,2,3,2,1,0,0,1,0,0,.249,.328,.412,.741,9,14,R,M.Harvey (23)
111,111,Aug 5,,CIN,W2-1,34,31,2,8,1,0,1,2,3,1,4,0,0,0,0,1,0,0,.249,.328,.412,.740,8,13,R,L.Castillo (49)
112,112,Aug 7 (1),,ATL,W8-3,42,34,8,11,4,0,2,8,7,2,6,0,0,1,0,0,1,0,.249,.329,.414,.743,10,17,L,M.Fried (55)
113,113,Aug 7 (2),,ATL,L1-3,35,32,1,7,2,0,1,1,2,0,10,1,0,0,0,1,0,0,.249,.329,.414,.742,7,13,L,S.Newcomb (62)
114,114,Aug 8,,ATL,L3-8,41,37,3,10,2,0,1,2,2,0,11,1,1,0,2,0,0,0,.249,.329,.414,.742,11,15,R,M.Foltynewicz (54)
115,115,Aug 9,,ATL,W6-3,37,33,6,11,1,0,1,6,3,1,6,0,0,1,0,0,0,1,.250,.329,.414,.743,7,13,R,A.Sanchez (55)
116,116,Aug 10,@,CHC,L2-3,38,34,2,9,1,0,0,2,2,0,8,1,1,0,1,0,1,0,.250,.329,.413,.742,9,16,R,K.Hendricks (53)
117,117,Aug 11,@,CHC,W9-4,45,37,9,13,0,0,3,9,5,0,12,0,2,1,0,0,1,0,.251,.330,.415,.745,9,13,L,J.Lester (11)
118,118,Aug 12,@,CHC,L3-4,33,29,3,3,0,1,0,3,3,1,12,0,0,1,0,0,0,0,.250,.329,.413,.742,3,14,L,C.Hamels (79)
119,119,Aug 13,@,STL,L6-7,37,32,6,8,1,0,2,6,3,0,5,0,2,0,0,1,0,0,.250,.329,.413,.742,4,17,R,M.Mikolas (56)
120,120,Aug 14,@,STL,L4-6,38,36,4,9,3,0,1,4,1,0,9,1,0,0,0,0,0,0,.250,.328,.413,.742,7,14,R,J.Gant (62)
121,121,Aug 15,@,STL,L2-4,37,32,2,7,2,1,1,2,4,0,7,0,0,1,0,1,0,0,.250,.328,.414,.742,8,15,L,A.Gomber (68)
122,122,Aug 16,@,STL,W5-4,44,40,5,10,1,0,0,4,4,0,5,0,0,0,3,0,0,0,.250,.328,.412,.740,12,14,R,L.Weaver (35)
123,123,Aug 17,,MIA,W8-2,38,36,8,14,3,0,2,7,0,0,4,1,0,1,0,1,0,0,.251,.329,.414,.743,6,16,R,D.Straily (36)
124,124,Aug 18,,MIA,L5-7,41,39,5,10,1,0,2,4,1,0,6,1,0,0,0,1,0,0,.251,.328,.414,.743,6,18,L,W.Chen (54)
125,125,Aug 19,,MIA,L1-12,30,27,1,2,2,0,0,1,2,0,4,0,1,0,0,0,0,0,.250,.327,.413,.740,2,15,R,J.Urena (81)
126,126,Aug 21,,PHI,W10-4,44,38,10,14,4,0,3,10,6,2,9,0,0,0,0,0,3,0,.251,.328,.415,.744,10,19,R,V.Velasquez (54)
127,127,Aug 22,,PHI,W8-7,42,39,8,14,4,1,1,7,2,1,7,0,0,1,0,0,1,0,.252,.329,.417,.746,8,16,R,Z.Eflin (22)
