Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
99,99,Jul 15,,CHC,L4-7,9.0,10,7,6,1,3,11,0,3,4.29,42,161,107,0,0,1,0,35,2,0,1,0,1,0,0,5,Ryan Blakney,E.Lauer (4-28-L) M.Strahm (2) A.Cimber (1) C.Stammen (2) K.Yates (1)
100,100,Jul 20,@,PHI,L5-11,8.0,12,11,11,0,4,8,1,0,4.36,38,135,80,1,0,0,1,34,1,0,0,0,0,0,0,5,Quinn Wolcott,C.Richard (6-22-L) R.Erlin (5) P.Maton (5) R.Stock (18) C.Brewer (16)
101,101,Jul 22(1),@,PHI,W10-2,9.0,6,2,2,0,4,11,1,2,4.34,40,148,95,0,0,0,0,34,1,0,0,0,0,1,0,4,Jansen Visconti,T.Ross (9-51-W) M.Strahm (6) C.Stammen (6) C.Brewer (1)
102,102,Jul 22(2),@,PHI,L0-5,8.0,8,5,5,0,3,9,2,1,4.35,36,138,87,2,2,0,0,32,1,0,0,0,0,0,0,3,Shane Livensparger,L.Perdomo (7-55-L) P.Maton (1) P.Hughes (7)
103,103,Jul 23,@,NYM,W3-2,9.0,7,2,2,0,1,12,0,2,4.33,38,156,106,2,1,1,0,35,0,0,0,0,0,1,0,4,Laz Diaz,J.Lucchesi (11-54-W) C.Stammen (0-H) P.Maton (0-H) K.Yates (7-Sv)
104,104,Jul 24,@,NYM,L3-6,8.0,9,6,6,0,3,11,1,0,4.35,36,139,88,0,0,0,0,33,2,1,0,0,0,0,0,3,Manny Gonzalez,E.Lauer (8-28-L) R.Stock (3) P.Hughes (1)
105,105,Jul 25,@,NYM,L4-6,8.0,5,6,6,0,3,5,1,0,4.37,32,120,73,0,0,2,0,29,0,0,0,0,0,0,0,4,Chad Whitson,C.Richard (4-32-L) P.Maton (1) M.Strahm (2) C.Stammen (1)
106,106,Jul 27,,ARI,L2-6,9.0,11,6,6,0,2,7,0,0,4.39,39,142,91,2,0,0,0,37,5,0,0,0,0,1,2,4,Ryan Additon,L.Perdomo (4-17-L) R.Erlin (6) R.Stock (2) P.Hughes (2)
107,107,Jul 28,,ARI,L4-9,9.0,15,9,9,0,6,6,0,0,4.43,47,174,107,4,2,0,0,40,5,0,0,1,0,0,1,6,Alfonso Marquez,T.Ross (5-38) J.Castillo (23) C.Stammen (2) P.Maton (2-L) K.Yates (4) P.Hughes (0)
108,108,Jul 29,,ARI,L4-5,9.0,9,5,5,0,4,8,3,0,4.43,38,150,96,2,0,0,2,33,1,0,0,1,0,0,0,4,Brian Knight,J.Lucchesi (5-31-L) J.Lyles (35) R.Stock (1) P.Maton (0)
