Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
12,12,Apr 10,,TOR,L1-2,9.0,7,2,1,1,5,7,1,1,4.50,40,143,84,0,0,0,1,34,0,0,0,0,0,1,0,3,Marvin Hudson,A.Cashner (4-72) M.Castro (1) D.O'Day (1-L)
13,13,Apr 11,,TOR,W5-3,9.0,7,3,3,0,3,9,1,0,4.39,37,147,92,0,0,0,0,34,1,0,0,0,0,0,0,4,Quinn Wolcott,K.Gausman (4-52-W) R.Bleier (2-H) D.O'Day (0-H) B.Brach (2-Sv)
14,14,Apr 13,@,BOS,L3-7,8.0,11,7,7,0,6,6,1,1,4.60,42,163,97,4,1,0,0,34,4,0,0,0,1,0,0,4,Cory Blaser,C.Tillman (5-16-L) P.Araujo (4) M.Wright (4) D.Hart (99)
15,15,Apr 14,@,BOS,L3-10,8.0,15,10,8,2,2,3,2,0,4.86,41,149,96,2,1,0,0,39,4,0,0,0,0,2,1,4,Stu Scheurwater,A.Cobb (99-10-L) M.Castro (3) D.Hart (0) M.Givens (4)
16,16,Apr 15,@,BOS,L1-3,8.0,10,3,1,2,2,8,0,0,4.65,36,124,88,2,0,2,0,34,4,1,0,0,0,1,0,2,Gary Cederstrom,D.Bundy (5-51-L) R.Bleier (3)
17,17,Apr 17,@,DET,L2-4,8.0,9,4,4,0,5,7,1,0,4.65,36,137,79,0,0,0,0,31,1,1,1,0,0,0,2,3,Chris Guccione,A.Cashner (6-48-L) B.Brach (5) M.Givens (2)
18,18,Apr 18,@,DET,L5-6,8.0,13,6,6,0,0,7,4,0,4.75,36,126,84,4,0,0,0,36,2,0,0,0,0,0,1,5,David Rackley,K.Gausman (6-50) M.Castro (3) R.Bleier (2) D.O'Day (6-BSv) P.Araujo (4-L)
19,19,Apr 19,@,DET,L8-13,8.0,18,13,11,2,2,7,2,1,5.11,45,156,104,2,0,0,0,42,3,2,0,0,0,1,0,3,Larry Vanover,A.Cobb (4-19-L) M.Wright (5) P.Araujo (0)
20,20,Apr 20,,CLE,W3-1,9.0,6,1,1,0,3,12,0,2,4.90,37,143,96,0,0,1,1,32,2,0,0,0,0,0,0,3,Gabe Morales,D.Bundy (4-65-W) R.Bleier (1-H) D.O'Day (1-Sv)
21,21,Apr 21,,CLE,L0-4,9.0,9,4,4,0,3,8,3,0,4.86,35,125,76,0,0,0,3,32,0,0,0,0,0,0,1,3,Ed Hickox,C.Tillman (7-44-L) T.Scott (12) M.Givens (3)
22,22,Apr 22,,CLE,L3-7,9.0,14,7,7,0,2,8,2,0,4.95,44,165,110,0,0,0,0,41,4,0,0,1,0,1,0,3,John Tumpane,A.Cashner (4-45-L) M.Castro (3) B.Brach (4)
23,23,Apr 23,,CLE,L1-2,9.0,4,2,2,0,1,7,1,0,4.83,32,115,81,0,0,0,0,31,1,0,0,0,0,0,0,2,Jerry Meals,K.Gausman (4-72-L) R.Bleier (2)
24,24,Apr 25,,TBR,L4-8,9.0,14,8,8,0,2,4,1,1,4.96,42,131,83,2,0,2,0,38,5,0,0,0,1,0,2,4,Bill Welke,A.Cobb (5-23-L) M.Castro (2) T.Scott (3) P.Araujo (5)
25,25,Apr 26,,TBR,L5-9,9.0,13,9,7,2,1,10,2,1,5.04,41,140,100,1,0,2,0,39,3,0,0,0,0,0,0,5,Mike Everitt,D.Bundy (5-15-L) M.Wright (6) M.Givens (4) B.Brach (3) D.O'Day (5)
26,26,Apr 27,,DET,W6-0,9.0,2,0,0,0,2,7,0,1,4.85,32,127,80,0,0,0,0,29,1,0,0,0,0,0,0,3,Bruce Dreckman,C.Tillman (5-78-W) R.Bleier (3) M.Givens (0)
27,27,Apr 28,,DET,L5-9,9.0,13,9,8,1,4,10,2,0,4.96,45,164,103,1,0,1,0,41,3,0,1,0,0,1,0,4,Mike Estabrook,A.Cashner (5-23-L) P.Araujo (2) M.Castro (2) D.O'Day (1)
28,28,Apr 29,,DET,W5-3,9.0,8,3,3,0,3,11,1,0,4.89,37,159,107,3,0,0,0,34,3,0,0,0,0,0,0,4,Chad Fairchild,K.Gausman (5-56-W) B.Brach (2-H) M.Givens (1-H) D.O'Day (0-Sv)
29,29,May 1,@,LAA,L2-3,8.1,10,3,3,0,4,3,1,0,4.84,39,136,89,1,0,0,0,35,4,0,3,0,0,0,0,4,Mike DiMuro,A.Cobb (5-50) M.Castro (2) R.Bleier (3) B.Brach (1-L)
30,30,May 2,@,LAA,L7-10,8.0,9,10,8,2,5,8,4,0,4.96,39,169,104,1,0,1,0,33,3,0,0,0,1,1,0,3,Roberto Ortiz,D.Bundy (5-28-L) M.Wright (5) P.Araujo (3)
31,31,May 3,@,LAA,L3-12,8.0,15,12,12,0,3,7,0,1,5.21,40,165,105,4,4,0,1,36,5,1,0,0,0,0,2,5,Brian Gorman,C.Tillman (5-10-L) M.Castro (1) M.Givens (3) R.Bleier (1) D.O'Day (3)
