Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
20,20,Apr 20,,SFG,L1-8,35,31,1,5,1,0,1,1,4,0,6,0,0,0,0,1,1,0,.267,.325,.434,.759,7,11,R,J.Samardzija (63)
21,21,Apr 21,,SFG,W4-3,31,29,4,6,3,0,3,4,2,0,7,0,0,0,0,1,1,0,.264,.323,.441,.764,3,10,L,D.Holland (51)
22,22,Apr 22,,SFG,L2-4,37,32,2,6,0,0,1,2,3,0,11,2,0,0,1,2,0,0,.261,.322,.434,.756,8,11,R,J.Cueto (73)
23,23,Apr 23,@,HOU,W2-0,33,30,2,4,1,0,0,2,3,0,9,0,0,0,0,1,2,0,.256,.318,.425,.742,4,9,R,G.Cole (67)
24,24,Apr 24,@,HOU,W8-7,39,33,8,8,0,0,3,8,6,0,8,0,0,0,0,2,1,0,.256,.319,.428,.748,4,9,R,C.Morton (33)
25,25,Apr 25,@,HOU,L2-5,31,31,2,4,1,0,1,2,0,0,11,0,0,0,0,0,0,0,.251,.313,.422,.735,2,9,R,J.Verlander (70)
26,26,Apr 27,,NYY,L3-4,35,34,3,6,1,1,1,3,1,0,9,0,0,0,0,1,0,1,.249,.309,.419,.729,2,12,R,L.Severino (62)
27,27,Apr 28,,NYY,L1-11,36,33,1,7,1,0,1,1,3,0,12,0,0,0,0,1,0,0,.247,.308,.416,.725,8,11,R,M.Tanaka (71)
28,28,Apr 29,,NYY,L1-2,37,34,1,6,1,0,0,0,3,0,7,0,0,0,1,0,1,0,.245,.306,.409,.715,9,9,L,C.Sabathia (66)
29,29,May 1,,BAL,W3-2,39,35,3,10,4,0,1,2,4,3,3,0,0,0,0,0,0,0,.246,.308,.412,.720,11,10,R,A.Cobb (50)
30,30,May 2,,BAL,W10-7,39,33,10,9,3,0,4,10,5,0,8,0,0,1,1,0,1,0,.247,.310,.422,.731,5,13,R,D.Bundy (28)
31,31,May 3,,BAL,W12-3,40,36,12,15,5,1,0,12,3,0,7,1,0,0,0,2,0,1,.253,.315,.428,.743,4,11,R,C.Tillman (10)
32,32,May 4,@,SEA,W5-0,43,36,5,11,3,1,0,4,7,0,10,0,0,0,0,2,1,0,.254,.319,.429,.747,11,9,R,M.Leake (42)
33,33,May 5,@,SEA,L8-9,51,47,8,17,5,0,2,8,3,0,11,0,0,1,1,2,0,1,.259,.322,.435,.757,10,11,L,M.Gonzales (44)
34,34,May 6,@,SEA,W8-2,46,38,8,12,2,0,3,8,5,0,9,2,1,0,1,1,1,0,.261,.325,.441,.766,11,9,R,F.Hernandez (36)
35,35,May 8,@,COL,L2-4,34,32,2,6,0,0,1,2,2,0,8,0,0,0,0,1,1,0,.259,.323,.437,.759,5,15,R,J.Gray (76)
36,36,May 9,@,COL,W8-0,42,37,8,12,3,0,3,8,5,0,4,0,0,0,0,2,0,0,.261,.325,.443,.768,7,15,L,T.Anderson (41)
37,37,May 10,,MIN,W7-4,37,32,7,12,4,0,3,7,2,0,2,2,0,1,0,3,0,0,.263,.328,.451,.779,6,9,R,J.Berrios (35)
38,38,May 11,,MIN,L4-5,38,36,4,10,1,0,1,4,2,0,8,0,0,0,0,1,1,0,.264,.328,.449,.777,7,10,R,L.Lynn (33)
39,39,May 12,,MIN,L3-5,55,41,3,7,1,1,0,3,12,2,10,1,0,1,0,1,1,0,.261,.329,.443,.772,16,11,R,K.Gibson (60)
40,40,May 13,,MIN,W2-1,37,30,2,7,1,0,0,2,5,0,8,1,1,0,0,1,1,0,.260,.330,.439,.769,10,10,R,F.Romero (58)
41,41,May 14,,HOU,W2-1,28,26,2,4,0,0,0,2,2,0,10,0,0,0,0,2,1,0,.259,.328,.434,.762,2,9,R,L.McCullers (60)
42,42,May 15,,HOU,L3-5,34,32,3,8,1,0,2,3,2,0,12,0,0,0,0,0,0,1,.258,.327,.435,.762,4,9,R,G.Cole (50)
43,43,May 16,,HOU,L0-2,33,32,0,5,1,0,0,0,1,0,7,0,0,0,0,0,0,0,.256,.324,.430,.754,6,11,R,J.Verlander (83)
44,44,May 17,,TBR,L1-7,34,29,1,3,0,0,1,1,4,0,6,1,0,0,0,1,0,0,.253,.322,.426,.748,6,11,R,C.Archer (71)
45,45,May 18,,TBR,L3-8,38,33,3,6,3,0,1,3,5,0,12,0,0,0,0,0,0,0,.252,.322,.424,.746,8,9,L,B.Snell (63)
46,46,May 19,,TBR,L3-5,32,31,3,6,2,0,1,3,1,0,8,0,0,0,1,2,1,0,.251,.320,.423,.743,2,10,R,S.Romo (56)
47,47,May 20,,TBR,W5-2,37,25,5,4,2,0,1,5,8,0,7,1,0,3,1,1,3,0,.249,.320,.422,.742,8,11,R,S.Romo (55)
48,48,May 22,@,TOR,L3-5,32,28,3,4,1,0,0,3,3,0,6,0,0,1,0,2,0,0,.247,.319,.418,.737,2,10,L,J.Happ (65)
49,49,May 23,@,TOR,W5-4,45,36,5,9,0,0,0,5,9,0,6,0,0,0,1,0,3,0,.247,.321,.414,.735,13,11,R,A.Sanchez (60)
50,50,May 24,@,TOR,W8-1,43,39,8,12,6,0,2,8,4,0,6,0,0,0,0,0,2,0,.249,.322,.419,.741,8,11,R,M.Estrada (32)
51,51,May 25,@,NYY,L1-2,35,30,1,6,0,0,1,1,5,0,6,0,0,0,0,1,0,0,.248,.322,.417,.738,7,9,R,L.Severino (61)
52,52,May 26,@,NYY,W11-4,45,36,11,11,3,0,2,10,7,0,12,1,0,1,1,1,0,0,.249,.324,.420,.743,7,12,R,S.Gray (31)
53,53,May 27,@,NYY,L1-3,34,29,1,4,0,0,1,1,5,0,10,0,0,0,0,2,0,0,.247,.323,.417,.740,6,10,R,M.Tanaka (67)
54,54,May 28,@,DET,L3-9,39,33,3,7,2,0,1,3,5,0,6,1,0,0,0,1,1,0,.247,.323,.416,.739,9,12,L,M.Boyd (64)
55,55,May 29,@,DET,W9-2,42,37,9,14,3,0,4,9,5,0,6,0,0,0,0,2,0,0,.249,.326,.423,.749,6,10,R,M.Fulmer (25)
56,56,May 30,@,DET,L1-6,35,33,1,7,2,0,0,1,2,0,8,0,0,0,0,0,0,1,.249,.325,.420,.745,7,9,R,M.Fiers (54)
57,57,May 31,@,DET,L2-6,36,35,2,8,1,0,1,2,1,0,8,0,0,0,1,1,0,0,.248,.323,.419,.742,7,10,L,R.Carpenter (51)
58,58,Jun 1,,TEX,W6-0,37,35,6,11,2,0,2,6,2,0,8,0,0,0,0,0,0,0,.249,.324,.421,.745,7,9,R,B.Colon (22)
59,59,Jun 2,,TEX,L2-3,38,35,2,6,0,1,2,2,1,0,12,2,0,0,0,0,1,0,.248,.322,.421,.743,6,11,L,C.Hamels (66)
60,60,Jun 3,,TEX,W3-1,28,28,3,4,1,0,1,3,0,0,2,0,0,0,0,0,0,0,.247,.320,.419,.739,1,9,R,D.Fister (53)
61,61,Jun 4,,KCR,W9-6,41,34,9,14,0,0,2,8,6,1,3,0,0,1,0,0,0,0,.249,.323,.422,.745,8,13,L,D.Duffy (34)
62,62,Jun 5,,KCR,W1-0,30,29,1,7,0,0,0,0,1,0,6,0,0,0,0,1,0,1,.249,.322,.419,.742,5,10,R,B.Keller (51)
63,63,Jun 6,,KCR,W4-3,38,34,4,10,4,0,2,4,4,0,8,0,0,0,0,0,0,0,.250,.323,.422,.745,10,9,R,I.Kennedy (51)
64,64,Jun 8,@,MIN,W4-2,36,34,4,7,1,0,2,4,2,0,10,0,0,0,0,0,0,0,.249,.322,.422,.744,5,10,R,L.Lynn (65)
65,65,Jun 9,@,MIN,W2-1,34,31,2,6,0,0,2,2,2,0,6,1,0,0,0,1,1,0,.249,.321,.421,.743,5,10,R,K.Gibson (62)
66,66,Jun 10,@,MIN,L5-7,42,34,5,8,2,0,0,5,5,1,7,2,0,1,0,0,0,0,.248,.322,.419,.741,10,11,R,F.Romero (50)
