Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
80,80,Jun 26,,COL,W3-2,9.0,9,2,2,0,3,10,1,0,4.03,37,133,85,2,0,0,0,33,2,0,0,1,0,0,1,5,John Tumpane,D.Holland (5-64) R.Moronta (1) M.Melancon (1-BSv) T.Watson (2-W) S.Dyson (1-Sv)
81,81,Jun 27,,COL,W1-0,9.0,2,0,0,0,2,9,0,0,3.98,31,120,80,0,0,0,0,29,1,0,0,0,0,0,0,3,Mike DiMuro,M.Bumgarner (5-79) W.Smith (2) R.Moronta (0-W)
82,82,Jun 28,,COL,L8-9,9.0,14,9,9,0,1,4,2,0,4.05,39,138,88,1,0,0,3,38,2,1,0,0,0,1,1,5,Mark Wegner,C.Stratton (5-28) T.Blach (3) P.Johnson (5) M.Melancon (1) S.Dyson (1-BL)
83,83,Jun 29,@,ARI,W2-1,9.0,7,1,1,0,2,7,0,0,4.01,36,133,88,0,0,0,0,33,1,0,0,0,1,0,0,4,Ted Barrett,A.Suarez (5-57-W) R.Moronta (1-H) T.Watson (2-H) W.Smith (1-Sv)
84,84,Jun 30,@,ARI,W7-0,9.0,7,0,0,0,2,9,0,0,3.96,34,139,96,1,0,0,0,32,2,0,0,0,0,0,0,3,Chad Whitson,D.Rodriguez (5-64-W) T.Blach (1) C.Gearrin (7)
85,85,Jul 1,@,ARI,W9-6,9.0,13,6,6,0,4,9,1,0,3.99,43,153,102,5,0,2,0,37,2,1,1,1,1,0,1,7,Adrian Johnson,D.Holland (4-35) C.Gearrin (0-W) P.Johnson (2) S.Dyson (2-H) T.Watson (1-H) M.Melancon (2) W.Smith (1-Sv)
86,86,Jul 2,@,COL,L2-5,8.0,11,5,4,1,4,6,0,0,3.99,39,130,84,5,4,0,0,34,2,0,0,0,1,1,1,4,Alan Porter,M.Bumgarner (4-48-L) R.Moronta (2-BSv) T.Blach (1) S.Dyson (0)
87,87,Jul 3,@,COL,L1-8,8.0,12,8,8,0,2,6,2,0,4.04,38,143,101,1,1,0,1,36,2,1,0,0,0,1,0,3,Angel Hernandez,C.Stratton (4-17-L) P.Johnson (1) C.Gearrin (1)
88,88,Jul 4,@,COL,L0-1,8.0,7,1,1,0,1,6,1,0,4.01,32,111,70,0,0,0,0,31,1,0,0,0,0,0,0,2,Bill Miller,A.Suarez (4-69-L) T.Watson (2)
89,89,Jul 5,,STL,L2-11,9.0,18,11,11,0,3,10,3,0,4.09,46,161,108,1,0,0,0,42,3,0,0,1,0,0,1,3,Fieldin Culbreth,J.Cueto (67-27-L) T.Blach (2) D.Holland (3)
90,90,Jul 6,,STL,W3-2,9.0,5,2,2,0,2,3,0,0,4.07,32,115,74,1,0,0,0,30,1,2,1,0,0,0,2,4,CB Bucknor,D.Rodriguez (5-55) R.Moronta (3-W) T.Watson (1-H) W.Smith (4-Sv)
91,91,Jul 7,,STL,L2-3,9.0,7,3,3,0,3,7,0,0,4.06,37,146,97,0,0,1,0,33,1,0,0,0,1,0,0,5,Chris Conroy,J.Samardzija (38-43-L) D.Holland (1) S.Dyson (4) C.Gearrin (3) M.Melancon (5)
92,92,Jul 8,,STL,W13-8,9.0,11,8,8,0,4,12,2,1,4.10,42,175,106,1,0,2,0,36,0,0,0,0,1,0,1,6,Brian O'Nora,M.Bumgarner (5-42-W) R.Moronta (1-H) S.Dyson (0) R.Black (99) T.Watson (1-H) T.Blach (2)
93,93,Jul 9,,CHC,W2-1,11.0,4,1,1,0,5,9,0,0,4.06,41,170,106,0,0,1,0,36,3,0,0,0,0,0,1,6,Jeff Nelson,A.Suarez (4-63) T.Watson (0) M.Melancon (1) W.Smith (2) R.Moronta (0) T.Blach (0-W)
94,94,Jul 10,,CHC,L0-2,9.0,6,2,2,0,2,12,0,0,4.03,33,141,94,1,1,0,2,31,3,0,0,0,0,0,0,3,Laz Diaz,D.Holland (2-67-L) S.Dyson (1) R.Black (1)
95,95,Jul 11,,CHC,W5-4,13.0,11,4,4,0,6,16,3,1,4.02,57,225,139,2,0,0,0,50,0,0,0,0,0,0,0,7,Manny Gonzalez,J.Cueto (5-47) T.Blach (1-H) R.Moronta (1-H) T.Watson (1-BSv) M.Melancon (1) W.Smith (1) D.Rodriguez (4-W)
96,96,Jul 13,,OAK,W7-1,9.0,3,1,1,0,3,8,1,0,3.98,33,134,86,3,0,1,0,30,0,0,0,0,0,0,0,3,Greg Gibson,M.Bumgarner (4-64-W) R.Moronta (1-H) S.Dyson (2)
97,97,Jul 14,,OAK,L3-4,9.0,9,4,4,0,3,11,1,1,3.98,40,146,88,2,0,2,0,34,2,0,0,0,2,0,0,6,Vic Carapazza,J.Samardzija (6-47) D.Holland (3) T.Watson (2-BL) R.Black (3) M.Melancon (2) T.Blach (2)
98,98,Jul 15,,OAK,L2-6,9.0,10,6,6,0,4,10,1,0,4.00,39,167,105,0,0,0,0,34,1,0,0,0,1,0,2,5,Ben May,A.Suarez (5-46-L) R.Moronta (1) R.Black (0) S.Dyson (1) W.Smith (3)
99,99,Jul 20,@,OAK,W5-1,9.0,4,1,1,0,1,6,0,2,3.97,34,119,83,1,0,0,0,30,3,0,0,0,1,0,0,4,Pat Hoberg,D.Rodriguez (8-68-W) R.Moronta (4-H) M.Melancon (5) T.Watson (5)
100,100,Jul 21,@,OAK,L3-4,10.2,7,4,4,0,9,10,0,1,3.97,45,194,109,5,1,1,1,34,1,0,1,1,0,0,3,7,Brian Knight,M.Bumgarner (7-45) S.Dyson (5) R.Black (5) D.Holland (6) T.Watson (0) R.Moronta (0) W.Smith (5-L)
101,101,Jul 22,@,OAK,L5-6,9.2,8,6,5,1,6,4,4,1,3.97,42,151,88,0,0,1,0,34,1,0,1,1,0,0,1,4,Gerry Davis,J.Cueto (10-50) M.Melancon (1-BSv) R.Black (0) T.Blach (7-L)
102,102,Jul 24,@,SEA,W4-3,9.0,9,3,3,0,3,5,1,0,3.96,37,133,86,1,1,0,0,33,0,0,0,0,1,0,1,5,Carlos Torres,A.Suarez (8-40) R.Moronta (2-BSv) S.Dyson (2) T.Watson (2-W) W.Smith (2-Sv)
