Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
88,88,Jul 9,@,SFG,L1-2,10.1,9,2,1,1,2,10,0,0,3.57,42,137,96,3,1,0,0,40,1,1,1,0,0,1,1,4,Jeff Nelson,K.Hendricks (5-78) R.Rosario (1) S.Cishek (0-L) P.Strop (0)
89,89,Jul 10,@,SFG,W2-0,9.0,3,0,0,0,2,7,0,0,3.53,30,127,81,0,0,0,0,28,0,0,0,0,0,0,2,4,Laz Diaz,J.Quintana (5-67-W) C.Edwards (1-H) J.Wilson (1-H) S.Cishek (0-Sv)
90,90,Jul 11,@,SFG,L4-5,12.2,14,5,5,0,6,9,1,1,3.53,58,227,135,0,0,0,1,51,2,0,1,0,0,1,1,7,Manny Gonzalez,M.Montgomery (4-35) R.Rosario (1) P.Strop (1) J.Wilson (0) L.Farrell (2) B.Morrow (2) J.Norwood (99-L)
91,91,Jul 13,@,SDP,W5-4,10.0,10,4,4,0,4,14,1,1,3.53,44,164,109,2,0,0,0,39,1,0,1,0,0,0,1,7,Jim Wolf,T.Chatwood (5-44) S.Cishek (2) J.Wilson (1) C.Edwards (2) B.Duensing (12) P.Strop (1-W) B.Morrow (1-Sv)
92,92,Jul 14,@,SDP,W11-6,9.0,8,6,6,0,4,4,2,0,3.55,37,168,99,1,0,1,0,33,3,0,0,0,0,0,2,6,D.J. Reyburn,K.Hendricks (4-52-W) R.Rosario (2-H) J.Norwood (2-H) B.Duensing (0) R.Zastryzny (20) S.Cishek (0)
93,93,Jul 15,@,SDP,W7-4,9.0,9,4,4,0,5,10,2,1,3.56,40,177,101,3,1,0,0,34,0,0,0,0,0,0,1,5,Ryan Blakney,J.Lester (6-48-W) J.Norwood (0-H) P.Strop (1) J.Wilson (1-H) B.Morrow (1-Sv)
94,94,Jul 19,,STL,W9-6,9.0,15,6,5,1,1,6,2,1,3.57,43,193,122,7,1,0,0,41,2,0,0,0,0,0,0,7,Kerwin Danley,K.Hendricks (4-37) B.Duensing (4-W) A.Bass (14-H) S.Cishek (4-H) J.Wilson (3-H) C.Edwards (5-H) P.Strop (3-Sv)
95,95,Jul 20,,STL,L5-18,9.0,18,18,18,0,8,2,5,0,3.72,52,204,111,6,6,0,0,41,5,0,0,2,1,0,1,7,Ben May,J.Lester (4-9-L) A.Bass (0) J.Norwood (4) B.Duensing (0) T.La Stella (99) V.Caratini (99) I.Happ (99)
96,96,Jul 21(1),,STL,W7-2,9.0,2,2,1,1,6,3,1,1,3.70,36,132,77,3,1,2,0,27,0,0,1,1,1,1,1,5,Lance Barksdale,T.Chatwood (7-58-W) C.Edwards (1-H) J.Wilson (1-H) S.Cishek (1-H) J.Chavez (5)
97,97,Jul 21(2),,STL,L3-6,9.0,10,6,6,0,7,7,1,0,3.72,43,162,94,4,2,2,0,35,2,0,1,0,1,0,1,6,Will Little,M.Montgomery (9-59) R.Rosario (6-H) P.Strop (1-BSv) J.Wilson (-1-L) S.Cishek (-1) D.Maples (19)
98,98,Jul 22,,STL,W7-2,9.0,8,2,2,0,4,8,0,0,3.70,38,152,91,0,0,0,0,32,3,0,2,1,1,0,1,3,Ted Barrett,J.Quintana (11-59-W) J.Chavez (0-H) R.Rosario (0)
99,99,Jul 23,,ARI,L1-7,9.0,9,7,6,1,4,5,1,1,3.72,40,154,93,2,0,0,0,34,1,0,0,0,1,0,1,5,Mark Carlson,L.Farrell (11-24-L) B.Duensing (2) R.Rosario (0) V.Caratini (2) A.Rizzo (99)
100,100,Jul 24,,ARI,L1-5,9.0,12,5,5,0,4,13,0,1,3.74,43,194,121,0,0,0,0,36,1,1,0,1,1,0,0,4,Bruce Dreckman,K.Hendricks (4-47-L) E.Butler (95) J.Chavez (1) S.Cishek (2)
