Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
85,85,Jul 3,@,CIN,W12-8,59,52,12,15,1,2,4,12,6,1,11,0,1,0,4,2,2,0,.245,.304,.403,.707,11,18,R,A.DeSclafani (40)
86,86,Jul 4,@,CIN,L4-7,36,34,4,9,2,0,2,4,2,0,12,0,0,0,0,0,1,1,.245,.304,.404,.708,5,16,R,S.Romano (45)
87,87,Jul 5,@,HOU,L3-4,32,31,3,6,1,0,2,3,0,0,11,1,0,0,0,1,1,0,.244,.303,.404,.707,2,10,R,J.Verlander (71)
88,88,Jul 6,@,HOU,L4-11,33,31,4,5,0,0,2,4,1,0,13,1,0,0,0,1,0,0,.243,.302,.403,.706,2,9,R,L.McCullers (79)
89,89,Jul 7,@,HOU,L6-12,37,34,6,7,2,0,1,6,2,0,14,0,0,1,1,0,1,0,.243,.302,.403,.705,4,10,R,C.Morton (45)
90,90,Jul 8,@,HOU,L1-2,36,30,1,6,1,0,0,1,3,0,5,1,1,1,0,1,0,0,.243,.302,.401,.703,8,11,L,D.Keuchel (60)
91,91,Jul 10,,STL,L2-14,33,31,2,5,2,0,0,2,2,0,9,0,0,0,0,1,0,0,.242,.301,.399,.700,4,9,R,M.Mikolas (63)
92,92,Jul 11,,STL,W4-0,31,29,4,7,1,1,0,4,2,0,10,0,0,0,0,0,0,0,.242,.301,.399,.699,3,10,R,L.Weaver (67)
93,93,Jul 13,,KCR,W9-6,43,37,9,14,2,0,3,9,6,0,4,0,0,0,0,1,0,0,.243,.303,.402,.705,10,10,R,B.Keller (21)
94,94,Jul 14,,KCR,L0-5,36,33,0,6,0,0,0,0,3,0,10,0,0,0,0,0,0,0,.243,.302,.400,.702,9,11,L,D.Duffy (74)
95,95,Jul 15,,KCR,W10-1,38,36,10,13,3,0,2,9,2,0,8,0,0,0,0,0,1,0,.244,.303,.402,.705,4,9,R,B.Smith (44)
96,96,Jul 20,@,SEA,L1-3,33,31,1,5,2,0,0,1,2,0,11,0,0,0,0,0,0,0,.243,.302,.401,.703,5,9,L,W.LeBlanc (75)
97,97,Jul 21,@,SEA,W5-0,37,32,5,7,2,0,1,4,2,0,11,2,0,1,0,0,0,0,.243,.302,.400,.702,5,10,R,F.Hernandez (48)
98,98,Jul 22,@,SEA,L2-8,33,32,2,5,0,0,1,2,1,0,11,0,0,0,2,2,0,0,.242,.301,.399,.700,4,9,L,M.Gonzales (62)
99,99,Jul 23,@,LAA,W5-3,39,32,5,8,0,1,1,5,5,0,7,1,0,1,0,1,3,0,.242,.302,.399,.701,7,10,R,J.Barria (42)
100,100,Jul 24,@,LAA,W4-2,39,35,4,8,1,0,1,4,3,0,5,0,0,1,1,0,0,0,.242,.301,.398,.700,8,10,R,F.Pena (55)
101,101,Jul 25,@,LAA,L3-11,35,32,3,6,2,0,1,3,2,0,11,0,0,1,1,1,0,0,.242,.301,.398,.699,5,9,L,T.Skaggs (67)
102,102,Jul 26,@,LAA,L8-12,40,35,8,9,0,0,6,8,5,0,12,0,0,0,0,1,0,0,.242,.301,.402,.703,5,10,R,N.Tropeano (48)
103,103,Jul 27,,TOR,L5-10,38,37,5,11,3,2,0,5,1,0,4,0,0,0,0,1,0,0,.242,.301,.403,.704,6,9,R,M.Stroman (54)
104,104,Jul 28,,TOR,W9-5,37,34,9,12,1,1,2,9,1,0,9,2,0,0,0,2,1,0,.243,.302,.405,.707,4,11,R,J.Axford (60)
105,105,Jul 29,,TOR,L4-7,37,35,4,9,1,1,2,4,1,0,8,0,1,0,0,0,1,0,.244,.302,.406,.708,6,10,L,R.Borucki (56)
106,106,Jul 31,,KCR,L2-4,42,36,2,10,2,0,1,2,6,0,11,0,0,0,0,1,1,1,.244,.303,.406,.709,13,11,L,D.Duffy (60)
107,107,Aug 1,,KCR,L5-10,38,34,5,9,3,0,1,5,4,0,7,0,0,0,0,0,0,2,.244,.303,.406,.710,6,9,R,J.Junis (43)
108,108,Aug 2,,KCR,W6-4,35,31,6,9,4,0,2,6,4,1,12,0,0,0,0,0,0,1,.244,.304,.408,.712,5,11,R,B.Keller (61)
109,109,Aug 3,@,TBR,W3-2,37,33,3,5,3,0,1,3,4,1,13,0,0,0,0,0,0,1,.244,.303,.407,.711,4,10,R,R.Stanek (60)
110,110,Aug 4,@,TBR,W2-1,33,29,2,5,2,0,1,1,4,1,9,0,0,0,0,2,0,0,.243,.303,.407,.710,4,11,L,B.Snell (53)
111,111,Aug 5,@,TBR,W8-7,41,35,8,10,1,0,3,8,5,0,12,0,1,0,0,1,2,0,.244,.304,.408,.712,6,11,R,H.Wood (48)
112,112,Aug 6,,NYY,L0-7,32,30,0,3,1,0,0,0,2,0,11,0,0,0,0,0,0,0,.242,.303,.406,.709,5,9,R,L.Lynn (82)
113,113,Aug 7,,NYY,L3-4,51,44,3,6,2,0,1,3,5,0,20,1,0,1,0,0,0,0,.241,.302,.404,.706,9,11,L,C.Sabathia (66)
114,114,Aug 8,,NYY,L3-7,36,35,3,9,2,0,1,3,1,0,12,0,0,0,0,0,0,1,.241,.302,.404,.706,6,11,R,L.Severino (59)
115,115,Aug 10,,CLE,W1-0,31,29,1,5,2,0,1,1,2,0,11,0,0,0,0,0,0,0,.241,.301,.404,.705,6,10,R,S.Bieber (74)
116,116,Aug 11,,CLE,L1-3,32,30,1,3,0,0,1,1,2,0,12,0,0,0,0,0,0,0,.240,.300,.402,.702,4,9,R,T.Bauer (73)
117,117,Aug 12,,CLE,L7-9,38,37,7,9,0,1,2,7,0,0,13,1,0,0,1,0,0,0,.240,.300,.403,.703,4,10,R,C.Carrasco (78)
118,118,Aug 13,@,DET,L5-9,40,34,5,11,2,0,2,5,3,0,10,1,0,2,0,0,0,2,.240,.301,.404,.705,8,9,R,A.Lewicki (40)
119,119,Aug 14,@,DET,W6-3,36,34,6,8,2,0,1,5,1,0,9,0,0,1,1,0,0,0,.240,.300,.404,.704,3,9,L,B.Hardy (39)
120,120,Aug 15,@,DET,W6-5,41,40,6,12,2,0,2,6,1,0,8,0,0,0,1,0,0,0,.241,.300,.405,.705,8,10,R,J.Zimmermann (29)
121,121,Aug 17,,KCR,W9-3,40,35,9,10,1,1,2,9,4,0,7,1,0,0,1,0,3,0,.241,.301,.406,.707,7,10,R,J.Junis (52)
122,122,Aug 18,,KCR,L1-3,36,35,1,9,2,0,1,1,1,0,13,0,0,0,0,0,1,1,.242,.301,.406,.707,8,11,R,B.Keller (54)
123,123,Aug 19,,KCR,W7-6,37,32,7,10,0,0,3,7,4,1,9,0,1,0,0,0,0,0,.242,.301,.407,.709,6,10,R,H.Fillmyer (23)
124,124,Aug 20,@,MIN,W8-5,45,40,8,13,2,1,1,7,4,0,10,1,0,0,0,0,2,0,.243,.302,.408,.711,10,10,L,S.Gonsalves (27)
125,125,Aug 21,,MIN,L2-5,33,29,2,6,0,0,2,2,3,0,11,0,1,0,1,1,0,2,.243,.302,.408,.711,4,10,R,J.Berrios (57)
126,126,Aug 22,,MIN,W7-3,38,32,7,8,1,0,3,6,6,1,6,0,0,0,1,1,0,1,.243,.303,.409,.712,7,10,R,K.Gibson (29)
127,127,Aug 23,@,DET,L2-7,37,32,2,8,3,0,1,2,5,0,9,0,0,0,0,1,1,1,.243,.303,.410,.713,8,9,L,M.Boyd (65)
128,128,Aug 24,@,DET,W6-3,37,35,6,8,4,0,0,6,2,0,11,0,0,0,0,0,0,0,.243,.303,.409,.712,4,10,R,M.Fulmer (63)
129,129,Aug 25,@,DET,W6-1,39,35,6,11,3,0,1,6,2,0,5,1,0,1,0,1,1,0,.243,.303,.410,.713,6,9,L,R.Carpenter (25)
130,130,Aug 26,@,DET,W7-2,42,36,7,11,3,1,1,7,4,0,9,1,0,1,0,0,1,0,.244,.304,.411,.715,8,9,R,J.Zimmermann (41)
131,131,Aug 27,@,NYY,W6-2,41,38,6,11,4,0,0,5,1,0,9,1,0,1,1,0,1,1,.244,.304,.411,.715,8,10,R,M.Tanaka (47)
132,132,Aug 28,@,NYY,L4-5,39,38,4,9,2,0,0,4,1,0,8,0,0,0,2,0,1,0,.244,.304,.410,.713,8,10,R,L.Lynn (47)
133,133,Aug 29,@,NYY,W4-1,35,32,4,6,3,0,1,4,3,0,10,0,0,0,0,0,0,1,.244,.303,.409,.713,4,9,L,C.Sabathia (54)
134,134,Aug 30,,BOS,L4-9,38,34,4,10,1,0,1,4,3,0,12,0,0,1,0,2,1,0,.244,.304,.409,.713,7,9,R,R.Porcello (39)
135,135,Aug 31,,BOS,W6-1,40,36,6,14,4,0,2,6,2,0,10,2,0,0,0,0,0,0,.245,.305,.411,.716,10,10,R,N.Eovaldi (38)
136,136,Sep 1,,BOS,L1-6,32,31,1,5,1,0,0,1,1,0,18,0,0,0,0,1,0,0,.245,.304,.410,.714,4,10,L,E.Rodriguez (70)
