Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
82,82,Jun 30,@,SDP,L3-4,37,33,3,7,4,1,0,3,4,0,10,0,0,0,0,1,0,0,.249,.318,.401,.719,7,13,L,J.Lucchesi (66)
83,83,Jul 1,@,SDP,W7-5,39,36,7,9,2,0,3,7,3,0,5,0,0,0,1,1,1,0,.249,.318,.403,.721,5,17,R,T.Ross (22)
84,84,Jul 2,@,LAD,L1-17,33,33,1,9,1,0,1,1,0,0,4,0,0,0,1,1,0,1,.249,.317,.403,.721,5,15,L,A.Wood (59)
85,85,Jul 3,@,LAD,L3-8,31,31,3,5,2,0,1,3,0,0,9,0,0,0,0,1,0,0,.248,.316,.402,.718,1,13,L,C.Kershaw (58)
86,86,Jul 4,@,LAD,L4-6,37,35,4,9,2,0,1,4,2,0,11,0,0,0,0,1,0,0,.248,.316,.402,.718,6,17,L,R.Hill (55)
87,87,Jul 6,,PHI,L5-17,45,39,5,12,3,1,0,5,4,0,8,2,0,0,1,1,4,0,.249,.317,.403,.720,13,19,R,N.Pivetta (40)
88,88,Jul 7,,PHI,L2-3,36,35,2,8,1,0,1,2,1,0,12,0,0,0,0,0,0,0,.249,.316,.402,.718,7,14,R,J.Arrieta (64)
89,89,Jul 8,,PHI,W4-1,35,33,4,9,3,0,0,4,2,0,6,0,0,0,1,1,4,0,.249,.316,.402,.718,7,13,R,D.Anderson (38)
90,90,Jul 9,,WSN,W6-3,37,31,6,8,3,1,1,6,5,1,6,0,1,0,0,0,2,0,.249,.316,.403,.719,7,13,R,J.Rodriguez (27)
91,91,Jul 10,,WSN,L1-5,37,34,1,7,0,0,0,1,3,0,7,0,0,0,0,0,0,0,.249,.316,.401,.717,9,16,R,J.Hellickson (65)
92,92,Jul 11,,WSN,W2-0,31,29,2,7,2,0,1,2,1,0,6,0,1,0,0,0,0,1,.249,.316,.401,.716,5,15,L,G.Gonzalez (55)
93,93,Jul 12,,MIL,W6-3,39,31,6,9,1,0,0,6,8,0,6,0,0,0,1,2,1,0,.249,.317,.400,.717,9,15,L,W.Miley (51)
94,94,Jul 13,,MIL,W7-3,36,33,7,12,4,1,1,6,2,0,7,0,0,1,0,1,1,0,.250,.318,.403,.720,5,12,R,J.Guerra (22)
95,95,Jul 14 (1),,MIL,W2-1,33,30,2,7,0,0,2,2,3,0,8,0,0,0,0,0,0,1,.250,.317,.403,.720,7,14,R,C.Anderson (50)
96,96,Jul 14 (2),,MIL,W6-2,34,32,6,8,1,0,5,6,2,0,8,0,0,0,0,0,0,0,.250,.317,.406,.723,4,13,L,B.Suter (61)
97,97,Jul 15,,MIL,W7-6,42,38,7,10,2,1,1,6,2,0,7,1,1,0,1,1,1,0,.250,.317,.407,.724,6,15,R,J.Chacin (60)
98,98,Jul 20,@,CIN,W12-1,47,41,12,16,1,1,3,11,5,1,4,0,1,0,1,2,0,0,.252,.319,.410,.729,8,14,R,T.Mahle (29)
99,99,Jul 21,@,CIN,W6-2,40,37,6,12,4,0,2,5,2,1,8,0,1,0,0,0,1,0,.253,.319,.412,.732,7,13,R,A.DeSclafani (43)
100,100,Jul 22,@,CIN,W9-2,42,40,9,15,3,0,4,9,0,0,7,0,2,0,0,0,0,0,.254,.320,.416,.736,6,11,R,M.Harvey (15)
101,101,Jul 23,@,CLE,W7-0,28,27,7,10,1,1,1,7,1,0,4,0,0,0,1,2,0,0,.255,.321,.418,.738,3,9,R,C.Kluber (25)
102,102,Jul 24,@,CLE,W9-4,40,39,9,14,1,1,3,9,1,0,8,0,0,0,0,2,0,0,.256,.321,.420,.741,4,10,R,S.Bieber (15)
103,103,Jul 25,@,CLE,L0-4,32,29,0,3,1,0,0,0,2,0,13,1,0,0,1,1,0,1,.255,.320,.418,.738,5,10,R,T.Bauer (81)
104,104,Jul 26,,NYM,L6-12,37,33,6,7,3,1,2,6,4,0,10,0,0,0,1,2,0,0,.255,.320,.419,.739,4,13,L,S.Matz (57)
105,105,Jul 27,,NYM,W5-4,41,33,5,10,0,0,1,5,8,1,6,0,0,0,0,1,0,0,.255,.321,.419,.740,12,15,L,J.Vargas (45)
106,106,Jul 28,,NYM,W5-0,36,34,5,11,3,0,0,5,1,0,6,0,1,0,0,0,2,0,.256,.321,.419,.740,7,14,R,J.deGrom (54)
