,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
257,27-Jul,ATL,LAD,1,4,0.246,40,33,7,1,0,2,4,7,12,0,0,0,0.26,33,32,6,1,0,0,1,0,10,0,0,0,0,1,2,12,7,40,7,4,4,0,171,97,0,1,0,10,0,33,6,1,1,0,117,84,0.531348612,-0.538000279,-0.790005793,-0.12904424,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
258,28-Jul,ATL,LAD,1,5,0.245,41,30,6,0,0,1,5,7,13,1,1,0,0.258,34,29,3,1,0,1,1,4,8,0,0,0,0,0,1,13,7,41,6,5,5,0,178,100,0,1,1,8,4,34,3,1,1,0,138,92,0.531348612,-0.538000279,-0.790005793,-0.12904424,2.001856474,-0.581621533,0.418816103,-1.366294755,-4
259,29-Jul,ATL,LAD,4,1,0.244,30,29,2,0,0,0,1,1,8,0,0,0,0.258,34,32,8,3,0,1,4,2,9,0,0,1,0,0,0,8,1,30,2,1,1,0,139,83,0,3,1,9,2,34,8,4,4,0,149,104,0.531348612,-0.538000279,-0.790005793,-0.12904424,2.001856474,-0.581621533,0.418816103,-1.366294755,3
657,20-Jun,CHC,LAD,4,0,0.241,34,31,6,3,0,0,0,3,2,0,0,0,0.259,35,32,12,3,1,1,4,1,7,1,0,1,0,3,0,2,3,34,6,0,0,0,137,83,1,3,1,7,1,35,12,4,4,0,115,73,2.023104015,2.020494494,0.660754271,0.999783295,2.001856474,-0.581621533,0.418816103,-1.366294755,4
982,10-Sep,CIN,LAD,10,6,0.245,42,36,9,2,0,2,6,6,9,0,0,2,0.259,42,38,14,4,0,1,9,3,12,0,0,2,0,2,2,9,6,42,9,6,6,0,169,98,0,4,1,12,3,42,14,10,9,1,159,103,-0.656998913,1.294142165,0.116719247,0.408492681,2.001856474,-0.581621533,0.418816103,-1.366294755,4
983,11-Sep,CIN,LAD,3,1,0.244,33,30,5,1,0,1,1,3,11,0,0,0,0.26,35,33,10,1,0,2,3,2,9,0,0,0,0,1,1,11,3,33,5,1,1,0,136,87,0,1,2,9,2,35,10,3,3,0,121,84,-0.656998913,1.294142165,0.116719247,0.408492681,2.001856474,-0.581621533,0.418816103,-1.366294755,2
984,12-Sep,CIN,LAD,1,8,0.244,46,39,11,4,0,1,7,7,8,0,0,1,0.259,32,31,5,1,1,1,1,1,11,0,0,0,0,4,1,8,7,46,11,8,7,1,177,107,1,1,1,11,1,32,5,1,1,0,121,78,-0.656998913,1.294142165,0.116719247,0.408492681,2.001856474,-0.581621533,0.418816103,-1.366294755,-7
1155,1-Jun,COL,LAD,8,11,0.238,45,35,12,3,1,3,11,6,6,0,3,0,0.242,43,39,13,1,2,1,8,2,6,1,0,0,1,3,3,6,6,45,12,11,11,0,184,109,2,1,1,6,2,43,13,8,8,0,155,96,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
1156,2-Jun,COL,LAD,4,12,0.24,45,39,13,1,1,3,11,6,10,0,0,0,0.242,38,34,10,2,0,0,4,3,5,0,0,0,1,1,3,10,6,45,13,12,12,0,197,117,0,2,0,5,3,38,10,4,4,0,136,86,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,-8
1157,3-Jun,COL,LAD,7,10,0.241,41,39,11,3,0,3,8,2,8,0,0,1,0.242,39,34,8,1,0,1,6,3,12,0,1,0,0,3,3,8,2,41,11,10,8,2,164,105,0,1,1,12,3,39,8,7,6,1,172,102,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
