Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn?,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
84,Monday Jul 2,boxscore,KCR,,CLE,L,3,9,,25-59,5,21.5,Kluber,Junis,,2:44,N,18285,----,
80,Wednesday Jun 27,boxscore,KCR,@,MIL,W,5,4,,25-55,5,19.5,Duffy,Suter,Peralta,2:48,D,38436,+,
75,Friday Jun 22,boxscore,KCR,@,HOU,W,1,0,,23-52,5,18.5,Grimm,Giles,Hill,3:09,N,39357,+,
74,Wednesday Jun 20,boxscore,KCR,,TEX,L,2,3,,22-52,5,18.5,Bibens-Dirkx,Junis,Diekman,2:53,N,19489,---------,
73,Tuesday Jun 19,boxscore,KCR,,TEX,L,1,4,,22-51,5,17.5,Hamels,Hammel,Kela,2:46,N,17789,--------,
72,Monday Jun 18,boxscore,KCR,,TEX,L,3,6,,22-50,5,16.5,Colon,Kennedy,Kela,3:04,N,18319,-------,
71,Sunday Jun 17,boxscore,KCR,,HOU,L,4,7,,22-49,5,15.5,Sipp,Maurer,Rondon,2:46,D,22326,------,
70,Saturday Jun 16,boxscore,KCR,,HOU,L,2,10,,22-48,5,14.5,Keuchel,Duffy,,2:46,D,20657,-----,
69,Friday Jun 15,boxscore,KCR,,HOU,L,3,7,,22-47,5,14.5,Morton,Junis,,2:49,N,27603,----,
68,Wednesday Jun 13,boxscore,KCR,,CIN,L,0,7,,22-46,5,14.0,Mahle,Hammel,,2:41,N,24899,---,
65,Saturday Jun 9,boxscore,KCR,@,OAK,W,2,0,,22-43,5,12.5,Duffy,Bassitt,Herrera,2:27,D,16208,+,
59,Sunday Jun 3,boxscore,KCR,,OAK,L,1,5,,21-38,4,9.5,Trivino,Junis,,2:26,D,19424,-,
57,Friday Jun 1,boxscore,KCR,,OAK,L,0,16,,20-37,4,10.5,Montas,Kennedy,,2:49,N,23413,-,
54,Monday May 28,boxscore,KCR,,MIN,L,5,8,,18-36,4,10.0,Lynn,Junis,Rodney,3:13,N,18572,-,
53,Sunday May 27,boxscore,KCR,@,TEX,W,5,3,,18-35,4,9.0,Hammel,Hamels,Herrera,3:00,D,31898,+,
50,Thursday May 24,boxscore,KCR,@,TEX,W,8,2,,17-33,4,8.0,Duffy,Bibens-Dirkx,,2:53,N,23230,+++,
48,Tuesday May 22,boxscore,KCR,@,STL,W,5,1,,15-33,5,9.0,Hammel,Weaver,,2:53,N,39545,+,
46,Sunday May 20,boxscore,KCR,,NYY,L,1,10,,14-32,5,8.5,Gray,Skoglund,,2:31,D,24121,--,
45,Saturday May 19,boxscore,KCR,,NYY,L,3,8,,14-31,4,8.5,Severino,Duffy,,2:57,N,33684,-,
43,Wednesday May 16,boxscore,KCR,,TBR,L,3,5,,13-30,4,8.5,Andriese,Hammel,Colome,2:59,D,19611,-----,
42,Tuesday May 15,boxscore,KCR,,TBR,L,5,6,,13-29,4,7.5,Venters,Herrera,Colome,2:53,N,21500,----,
41,Monday May 14,boxscore,KCR,,TBR,L,1,2,,13-28,4,7.5,Yarbrough,Skoglund,Colome,2:33,N,14174,---,
38,Friday May 11,boxscore,KCR,@,CLE,W,10,9,,13-25,4,5.5,Keller,Miller,Herrera,3:34,N,24408,+,
35,Tuesday May 8,boxscore,KCR,@,BAL,W,15,7,,12-23,4,5.0,Duffy,Bundy,,3:21,N,10863,++,
33,Saturday May 5,boxscore,KCR,,DET,L,2,3,,10-23,4,7.0,Zimmermann,Hammel,Greene,3:06,D,20708,-,
25,Saturday Apr 28 (1),boxscore,KCR,,CHW,L,0,8,,5-20,5,8.5,Fulmer,Oaks,,2:49,D,16971,-----,
23,Thursday Apr 26,boxscore,KCR,,CHW,L,3,6,,5-18,5,8.0,Giolito,Junis,Soria,3:08,N,18315,---,
22,Wednesday Apr 25,boxscore,KCR,,MIL,L,2,6,,5-17,5,8.0,Chacin,Hammel,,2:57,N,13389,--,
21,Tuesday Apr 24,boxscore,KCR,,MIL,L,2,5,,5-16,5,7.0,Davies,Kennedy,,2:59,N,16555,-,
20,Sunday Apr 22,boxscore,KCR,@,DET,W,8,5,,5-15,4,6.5,McCarthy,VerHagen,Herrera,3:09,D,19034,+,
18,Friday Apr 20 (2),boxscore,KCR,@,DET,W,3,2,,4-14,5,6.0,Junis,Greene,Herrera,2:34,N,17194,+,
13,Saturday Apr 14,boxscore,KCR,,LAA,L,3,5,,3-10,5,5.0,Richards,Junis,Middleton,3:03,N,15876,-----,
12,Friday Apr 13,boxscore,KCR,,LAA,L,4,5,,3-9,5,4.5,Wood,Grimm,Middleton,3:24,N,15011,----,
11,Thursday Apr 12,boxscore,KCR,,LAA,L,1,7,,3-8,5,4.0,Tropeano,Kennedy,,3:00,N,14714,---,
10,Wednesday Apr 11,boxscore,KCR,,SEA,L,2,4,,3-7,5,3.0,Vincent,Grimm,Diaz,2:48,D,14314,--,
9,Tuesday Apr 10,boxscore,KCR,,SEA,L,3,8,,3-6,4,2.0,Hernandez,Skoglund,,2:58,N,14850,-,
6,Saturday Apr 7,boxscore,KCR,@,CLE,W,1,0,,2-4,4,1.5,Kennedy,Bauer,Herrera,2:29,D,17362,+,
4,Tuesday Apr 3,boxscore,KCR,@,DET,W,1,0,,1-3,4,1.0,Junis,Boyd,Herrera,2:17,D,15083,+,
