Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
96,Friday Jul 13,boxscore,SFG,,OAK,W,7,1,,50-46,3,3.0,Bumgarner,Jackson,,3:16,N,41751,++,
97,Saturday Jul 14,boxscore,SFG,,OAK,L,3,4,,50-47,4,3.5,Petit,Watson,Treinen,3:10,N,41970,-,
98,Sunday Jul 15,boxscore,SFG,,OAK,L,2,6,,50-48,4,4.0,Manaea,Suarez,,2:44,D,42098,--,
99,Friday Jul 20,boxscore,SFG,@,OAK,W,5,1,,51-48,4,4.0,Rodriguez,Jackson,,2:47,N,45606,+,
100,Saturday Jul 21,boxscore,SFG,@,OAK,L-wo,3,4,11,51-49,4,4.0,Petit,Smith,,4:04,N,56310,-,
101,Sunday Jul 22,boxscore,SFG,@,OAK,L-wo,5,6,10,51-50,4,5.0,Familia,Blach,,3:19,D,44374,--,
102,Tuesday Jul 24,boxscore,SFG,@,SEA,W,4,3,,52-50,4,4.5,Watson,Diaz,Smith,2:58,N,40276,+,
103,Wednesday Jul 25,boxscore,SFG,@,SEA,L,2,3,,52-51,4,4.5,Colome,Watson,Diaz,2:37,D,45548,-,
104,Thursday Jul 26,boxscore,SFG,,MIL,L,5,7,,52-52,4,5.5,Hader,Melancon,Knebel,3:22,N,40643,--,
105,Friday Jul 27,boxscore,SFG,,MIL,L,1,3,,52-53,4,6.5,Anderson,Bumgarner,Knebel,2:33,N,40414,---,
106,Saturday Jul 28,boxscore,SFG,,MIL,L,1,7,,52-54,4,7.5,Chacin,Cueto,,2:34,N,40735,----,
107,Sunday Jul 29,boxscore,SFG,,MIL,W,8,5,,53-54,4,6.5,Suarez,Guerra,Smith,3:12,D,41312,+,
108,Monday Jul 30,boxscore,SFG,@,SDP,W,5,3,12,54-54,4,5.5,Smith,Strahm,,4:01,N,31725,++,
109,Tuesday Jul 31,boxscore,SFG,@,SDP,W,3,2,10,55-54,4,5.0,Watson,Maton,Smith,3:05,D,29209,+++,
110,Thursday Aug 2,boxscore,SFG,@,ARI,W,8,1,,56-54,4,5.0,Bumgarner,Greinke,,3:26,N,22980,++++,
111,Friday Aug 3,boxscore,SFG,@,ARI,L,3,6,,56-55,4,5.0,Corbin,Stratton,Boxberger,2:59,N,27581,-,
112,Saturday Aug 4,boxscore,SFG,@,ARI,L,3,9,,56-56,4,6.0,Buchholz,Suarez,,2:59,N,38093,--,
113,Sunday Aug 5,boxscore,SFG,@,ARI,W,3,2,,57-56,4,5.0,Black,Bradley,Smith,3:15,D,27884,+,
114,Monday Aug 6,boxscore,SFG,,HOU,L,1,3,,57-57,4,6.0,Osuna,Smith,Rondon,2:26,N,40251,-,
115,Tuesday Aug 7,boxscore,SFG,,HOU,L,1,2,,57-58,4,6.5,Smith,Black,Rondon,3:02,D,41613,--,
116,Thursday Aug 9,boxscore,SFG,,PIT,L,5,10,,57-59,4,7.0,Nova,Suarez,,3:00,N,40035,---,
117,Friday Aug 10,boxscore,SFG,,PIT,W,13,10,,58-59,4,6.0,Holland,Holmes,,3:44,N,41762,+,
118,Saturday Aug 11,boxscore,SFG,,PIT,L,0,4,,58-60,4,6.0,Williams,Blach,,2:18,N,41209,-,
119,Sunday Aug 12,boxscore,SFG,,PIT,W,4,3,,59-60,4,6.0,Rodriguez,Musgrove,Smith,2:40,D,41980,+,
120,Monday Aug 13,boxscore,SFG,@,LAD,W,5,2,,60-60,4,5.0,Black,Alexander,Smith,3:05,N,45229,++,
121,Tuesday Aug 14,boxscore,SFG,@,LAD,W,2,1,,61-60,4,5.0,Dyson,Maeda,Smith,3:09,N,46734,+++,
122,Wednesday Aug 15,boxscore,SFG,@,LAD,L-wo,3,4,12,61-61,4,5.5,Baez,Kelly,,4:05,N,44987,-,
123,Friday Aug 17,boxscore,SFG,@,CIN,L-wo,1,2,11,61-62,4,7.0,Hernandez,Black,,3:04,N,19540,--,
124,Saturday Aug 18,boxscore,SFG,@,CIN,L,1,7,,61-63,4,7.0,Harvey,Bumgarner,,2:35,N,23878,---,
125,Sunday Aug 19,boxscore,SFG,@,CIN,L,4,11,,61-64,4,8.0,Castillo,Suarez,,2:50,D,22756,----,
126,Monday Aug 20,boxscore,SFG,@,NYM,W,2,1,13,62-64,4,7.5,Law,Bashlor,,4:20,N,24811,+,
127,Tuesday Aug 21,boxscore,SFG,@,NYM,L,3,6,,62-65,4,8.5,Oswalt,Watson,,2:24,N,24999,-,
128,Wednesday Aug 22,boxscore,SFG,@,NYM,L,3,5,,62-66,4,9.5,Syndergaard,Kelly,Sewald,2:44,N,28157,--,
129,Thursday Aug 23,boxscore,SFG,@,NYM,W,3,1,,63-66,4,9.0,Bumgarner,deGrom,Smith,2:36,D,25584,+,
130,Friday Aug 24,boxscore,SFG,,TEX,L,6,7,10,63-67,4,9.0,Gearrin,Dyson,Leclerc,3:48,N,39845,-,
