"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"93",186,24,"Thursday Apr 26","boxscore","ATL","@","CIN","W",7,4,NA,"14-10",3,"1.5","Freeman","Peralta","Vizcaino",02:41:00,"D",11919,"++",NA
"94",187,25,"Friday Apr 27","boxscore","ATL","@","PHI","L",3,7,NA,"14-11",3,"2.5","Nola","Fried",NA,02:50:00,"N",27076,"-",NA
"95",188,26,"Saturday Apr 28","boxscore","ATL","@","PHI","W",4,1,NA,"15-11",3,"1.5","Foltynewicz","Pivetta","Vizcaino",03:10:00,"N",27794,"+",NA
"96",189,27,"Sunday Apr 29","boxscore","ATL","@","PHI","W",10,1,NA,"16-11",2,"1.5","McCarthy","Velasquez",NA,03:26:00,"D",31010,"++",NA
"97",190,28,"Tuesday May 1","boxscore","ATL","@","NYM","W",3,2,NA,"17-11",2,"0.5","Soroka","Syndergaard","Vizcaino",02:43:00,"N",22527,"+++",NA
"98",191,29,"Wednesday May 2","boxscore","ATL","@","NYM","W",7,0,NA,"18-11",1,"up 0.5","Newcomb","Sewald",NA,02:24:00,"N",23528,"++++",NA
"99",192,30,"Thursday May 3","boxscore","ATL","@","NYM","W",11,0,NA,"19-11",1,"up 1.5","Teheran","Vargas",NA,02:40:00,"D",26882,"+++++",NA
"100",196,34,"Tuesday May 8","boxscore","ATL","@","TBR","W",1,0,NA,"20-14",1,"up 0.5","Newcomb","Snell","Vizcaino",02:55:00,"N",15382,"+",NA
"101",197,35,"Wednesday May 9","boxscore","ATL","@","TBR","W",5,2,NA,"21-14",1,"up 0.5","Teheran","Yarbrough","Vizcaino",02:51:00,"N",12082,"++",NA
"102",198,36,"Thursday May 10","boxscore","ATL","@","MIA","W",9,2,NA,"22-14",1,"up 0.5","Foltynewicz","Smith","Gohara",03:00:00,"N",8277,"+++",NA
"103",199,37,"Friday May 11","boxscore","ATL","@","MIA","L",3,6,NA,"22-15",1,"up 0.5","Straily","McCarthy","Ziegler",02:42:00,"N",9149,"-",NA
"104",200,38,"Saturday May 12","boxscore","ATL","@","MIA","W",10,5,NA,"23-15",1,"up 1.0","Minter","Steckenrider",NA,03:26:00,"N",12383,"+",NA
"105",201,39,"Sunday May 13","boxscore","ATL","@","MIA","W",4,3,NA,"24-15",1,"up 1.0","Newcomb","Urena","Vizcaino",02:50:00,"D",7435,"++",NA
"106",202,40,"Monday May 14","boxscore","ATL","@","CHC","W",6,5,NA,"25-15",1,"up 1.5","Teheran","Quintana","Minter",03:14:00,"D",35946,"+++",NA
"107",208,46,"Monday May 21","boxscore","ATL","@","PHI","L",0,3,NA,"28-18",1,"up 0.5","Pivetta","Foltynewicz","Neris",02:33:00,"N",21284,"-",NA
"108",209,47,"Tuesday May 22","boxscore","ATL","@","PHI","W",3,1,NA,"29-18",1,"up 1.5","McCarthy","Velasquez","Vizcaino",03:18:00,"N",18545,"+",NA
"109",210,48,"Wednesday May 23","boxscore","ATL","@","PHI","L",0,4,NA,"29-19",1,"up 0.5","Arrieta","Gohara",NA,02:51:00,"N",27647,"-",NA
