"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"2705",112,"Friday Aug 3","boxscore","SDP","@","CHC","L",4,5,NA,"43-69",5,"18.5","Quintana","Ross","Strop","3:06","D",40894,"-",NA
"2706",113,"Saturday Aug 4","boxscore","SDP","@","CHC","L",4,5,NA,"43-70",5,"19.5","Hendricks","Lockett","Strop","2:38","D",40855,"--",NA
"2707",114,"Sunday Aug 5","boxscore","SDP","@","CHC","W",10,6,NA,"44-70",5,"18.5","Stammen","Edwards","","3:29","D",41136,"+",NA
"2708",115,"Tuesday Aug 7","boxscore","SDP","@","MIL","W",11,5,NA,"45-70",5,"18.5","Strahm","Hader","","3:23","N",27664,"++",NA
"2709",116,"Wednesday Aug 8","boxscore","SDP","@","MIL","L",4,8,NA,"45-71",5,NA,"Chacin","Kennedy","","2:55","N",32355,"-",NA
"2710",117,"Thursday Aug 9","boxscore","SDP","@","MIL","W",8,4,NA,"46-71",5,"18.5","Yates","Knebel","","3:14","D",39041,"+",NA
"2711",118,"Friday Aug 10","boxscore","SDP","","PHI","W",2,0,NA,"47-71",5,"17.5","Nix","Eflin","Yates","2:34","N",26306,"++",NA
"2712",119,"Saturday Aug 11","boxscore","SDP","","PHI","L",1,5,NA,"47-72",5,"17.5","Nola","Lockett","","3:12","N",35098,"-",NA
"2713",120,"Sunday Aug 12","boxscore","SDP","","PHI","W",9,3,NA,"48-72",5,"17.5","Lucchesi","Arrieta","","3:20","D",26930,"+",NA
"2714",121,"Monday Aug 13","boxscore","SDP","","LAA","L",3,6,10,"48-73",5,"17.5","Bedrosian","Stammen","","2:47","N",22609,"-",NA
"2715",122,"Tuesday Aug 14","boxscore","SDP","","LAA","L",3,7,NA,"48-74",5,"18.5","Barria","Kennedy","","3:14","N",21747,"--",NA
"2716",123,"Wednesday Aug 15","boxscore","SDP","","LAA","L",2,3,NA,"48-75",5,NA,"Alvarez","Yates","Parker","2:43","N",22851,"---",NA
"2717",124,"Thursday Aug 16","boxscore","SDP","","ARI","L",1,5,NA,"48-76",5,NA,"Buchholz","Nix","","3:00","N",20617,"----",NA
"2718",125,"Friday Aug 17","boxscore","SDP","","ARI","L",4,9,NA,"48-77",5,NA,"Hirano","Lucchesi","","3:46","N",20010,"-----",NA
"2719",126,"Saturday Aug 18","boxscore","SDP","","ARI","W-wo",7,6,NA,"49-77",5,NA,"Stammen","Chafin","","2:54","N",24440,"+",NA
"2720",127,"Sunday Aug 19","boxscore","SDP","","ARI","L",3,4,NA,"49-78",5,NA,"Bradley","Yates","Boxberger","3:09","D",22346,"-",NA
"2721",128,"Tuesday Aug 21","boxscore","SDP","@","COL","W",4,3,NA,"50-78",5,NA,"Erlin","Anderson","Yates","2:34","N",27862,"+",NA
"2722",129,"Wednesday Aug 22","boxscore","SDP","@","COL","L",2,6,NA,"50-79",5,NA,"Gray","Nix","","2:43","N",28966,"-",NA
"2723",130,"Thursday Aug 23","boxscore","SDP","@","COL","L-wo",3,4,NA,"50-80",5,"22.5","Rusin","Yates","","3:00","D",30625,"--",NA
"2724",131,"Friday Aug 24","boxscore","SDP","@","LAD","L",1,11,NA,"50-81",5,"22.5","Hill","Richard","","2:48","N",47559,"---",NA
"2725",132,"Saturday Aug 25","boxscore","SDP","@","LAD","L-wo",4,5,12,"50-82",5,"22.5","Ferguson","Stock","","3:26","N",53528,"----",NA
"2726",133,"Sunday Aug 26","boxscore","SDP","@","LAD","L",3,7,NA,"50-83",5,"23.5","Ryu","Erlin","","3:07","D",43252,"-----",NA
"2727",134,"Tuesday Aug 28","boxscore","SDP","","SEA","W",2,1,NA,"51-83",5,NA,"Nix","Hernandez","Yates","2:13","N",25168,"+",NA
"2728",135,"Wednesday Aug 29","boxscore","SDP","","SEA","W",8,3,NA,"52-83",5,NA,"Lucchesi","Ramirez","","3:16","D",20266,"++",NA
"2729",136,"Thursday Aug 30","boxscore","SDP","","COL","W-wo",3,2,13,"53-83",5,NA,"Stock","Shaw","","3:36","N",20056,"+++",NA
"2730",137,"Friday Aug 31","boxscore","SDP","","COL","W",7,0,NA,"54-83",5,NA,"Kennedy","Senzatela","","2:38","N",21408,"++++",NA
"2731",138,"Saturday Sep 1","boxscore","SDP","","COL","L",2,4,NA,"54-84",5,NA,"Gray","Erlin","Davis","2:42","N",35779,"-",NA
"2732",139,"Sunday Sep 2","boxscore","SDP","","COL","L",3,7,NA,"54-85",5,NA,"Freeland","Nix","","2:47","D",28883,"--",NA
"2733",140,"Monday Sep 3","boxscore","SDP","@","ARI","W",6,2,NA,"55-85",5,"21.5","Mitchell","Godley","","3:19","N",22514,"+",NA
"2734",141,"Tuesday Sep 4","boxscore","SDP","@","ARI","L",0,6,NA,"55-86",5,"22.5","Ray","Lucchesi","","2:47","N",18556,"-",NA
"2735",142,"Thursday Sep 6","boxscore","SDP","@","CIN","W",6,2,NA,"56-86",5,"22.5","Castillo","Castillo","","2:57","N",14303,"+",NA
"2736",143,"Friday Sep 7","boxscore","SDP","@","CIN","L",6,12,NA,"56-87",5,"22.5","Lorenzen","Strahm","","2:52","N",14854,"-",NA
"2737",144,"Saturday Sep 8","boxscore","SDP","@","CIN","L",2,7,7,"56-88",5,"23.5","Harvey","Erlin","","1:44","D",20977,"--",NA
"2738",145,"Sunday Sep 9","boxscore","SDP","@","CIN","W",7,6,NA,"57-88",5,"22.5","Stammen","Iglesias","Yates","3:12","D",18424,"+",NA
"2739",146,"Tuesday Sep 11","boxscore","SDP","@","SEA","W",2,1,NA,"58-88",5,NA,"Stammen","Diaz","Yates","2:49","N",13833,"++",NA
"2740",147,"Wednesday Sep 12","boxscore","SDP","@","SEA","W",5,4,NA,"59-88",5,NA,"Lucchesi","LeBlanc","Yates","3:07","D",17164,"+++",NA
"2741",148,"Friday Sep 14","boxscore","SDP","","TEX","L",0,4,NA,"59-89",5,"22.5","Mendez","Erlin","","2:42","N",22740,"-",NA
"2742",149,"Saturday Sep 15","boxscore","SDP","","TEX","L",3,6,NA,"59-90",5,NA,"Jurado","Castillo","Leclerc","3:10","N",28833,"--",NA
"2743",150,"Sunday Sep 16","boxscore","SDP","","TEX","W-wo",7,3,NA,"60-90",5,"22.5","Yates","Springs","","3:15","D",22242,"+",NA
"2744",151,"Monday Sep 17","boxscore","SDP","","SFG","L",2,4,NA,"60-91",5,NA,"Suarez","Mitchell","Smith","2:41","N",23653,"-",NA
"2745",152,"Tuesday Sep 18","boxscore","SDP","","SFG","L",4,5,NA,"60-92",5,NA,"Dyson","Stammen","Smith","3:20","N",26285,"--",NA
"2746",153,"Wednesday Sep 19","boxscore","SDP","","SFG","W",8,4,NA,"61-92",5,NA,"Erlin","Stratton","","2:54","N",31933,"+",NA
"2747",154,"Friday Sep 21","boxscore","SDP","@","LAD","W",5,3,NA,"62-92",5,NA,"Lauer","Stripling","Yates","3:57","N",52458,"++",NA
"2748",155,"Saturday Sep 22","boxscore","SDP","@","LAD","L",2,7,NA,"62-93",5,NA,"Hill","Nix","Jansen","2:51","N",53536,"-",NA
"2749",156,"Sunday Sep 23","boxscore","SDP","@","LAD","L",0,14,NA,"62-94",5,NA,"Ryu","Lucchesi","","3:11","D",50250,"--",NA
"2750",157,"Monday Sep 24","boxscore","SDP","@","SFG","W",5,0,NA,"63-94",5,NA,"Mitchell","Holland","Yates","2:41","N",35428,"+",NA
"2751",158,"Tuesday Sep 25","boxscore","SDP","@","SFG","L-wo",4,5,12,"63-95",5,NA,"Melancon","Wick","","3:38","N",36063,"-",NA
"2752",159,"Wednesday Sep 26","boxscore","SDP","@","SFG","W",3,2,NA,"64-95",5,"24.5","Diaz","Kelly","Yates","2:57","N",36044,"+",NA
"2753",160,"Friday Sep 28","boxscore","SDP","","ARI","W-wo",3,2,15,"65-95",5,NA,"Brewer","Andriese","","5:02","N",28055,"++",NA
"2754",161,"Saturday Sep 29","boxscore","SDP","","ARI","L",4,5,NA,"65-96",5,NA,"Godley","Nix","Hirano","2:49","N",28024,"-",NA
"2755",162,"Sunday Sep 30","boxscore","SDP","","ARI","W-wo",4,3,10,"66-96",5,NA,"Castillo","Barrett","","3:29","D",31243,"+",NA
"2756",1,"Thursday Mar 29","boxscore","SFG","@","LAD","W",1,0,NA,"1-0",1,"Tied","Blach","Kershaw","Strickland","2:55","D",53595,"+",NA
"2757",2,"Friday Mar 30","boxscore","SFG","@","LAD","W",1,0,NA,"2-0",1,"Tied","Watson","Jansen","Strickland","2:23","N",53478,"++",NA
"2758",3,"Saturday Mar 31","boxscore","SFG","@","LAD","L",0,5,NA,"2-1",1,"Tied","Maeda","Holland","","2:43","N",45938,"-",NA
"2759",4,"Sunday Apr 1","boxscore","SFG","@","LAD","L",0,9,NA,"2-2",2,"0.5","Hill","Stratton","","2:47","N",41866,"--",NA
"2760",5,"Tuesday Apr 3","boxscore","SFG","","SEA","L",4,6,NA,"2-3",2,"2.0","Gonzales","Blach","Diaz","3:02","D",40901,"---",NA
"2761",6,"Wednesday Apr 4","boxscore","SFG","","SEA","W",10,1,NA,"3-3",2,"2.0","Cueto","Hernandez","","2:52","D",42582,"+",NA
"2762",7,"Saturday Apr 7","boxscore","SFG","","LAD","W-wo",7,5,14,"4-3",2,"1.5","Gomez","Font","","5:16","D",42308,"++",NA
"2763",8,"Sunday Apr 8","boxscore","SFG","","LAD","L",1,2,10,"4-4",2,"2.5","Fields","Johnson","Jansen","3:04","D",42374,"-",NA
"2764",9,"Monday Apr 9","boxscore","SFG","","ARI","L",1,2,NA,"4-5",2,"3.5","Godley","Holland","Bradley","2:33","N",36997,"--",NA
"2765",10,"Tuesday Apr 10","boxscore","SFG","","ARI","W-wo",5,4,NA,"5-5",2,"2.5","Strickland","De La Rosa","","3:24","N",37869,"+",NA
"2766",11,"Wednesday Apr 11","boxscore","SFG","","ARI","L",3,7,NA,"5-6",2,"3.5","Salas","Suarez","","3:09","D",35041,"-",NA
"2767",12,"Thursday Apr 12","boxscore","SFG","@","SDP","W",7,0,NA,"6-6",2,"3.0","Stratton","Mitchell","","2:47","N",22288,"+",NA
"2768",13,"Friday Apr 13","boxscore","SFG","@","SDP","L",1,5,NA,"6-7",3,"4.0","Ross","Blach","Hand","2:32","N",31675,"-",NA
"2769",14,"Saturday Apr 14","boxscore","SFG","@","SDP","L",4,5,NA,"6-8",3,"5.0","Cimber","Gearrin","Hand","2:59","N",41117,"--",NA
"2770",15,"Sunday Apr 15","boxscore","SFG","@","SDP","L",1,10,NA,"6-9",3,"5.0","Lucchesi","Beede","","3:09","D",34316,"---",NA
"2771",16,"Tuesday Apr 17","boxscore","SFG","@","ARI","L",0,1,NA,"6-10",4,"6.0","Corbin","Watson","","2:05","N",19669,"----",NA
"2772",17,"Wednesday Apr 18","boxscore","SFG","@","ARI","W",4,3,10,"7-10",4,"5.0","Strickland","Boxberger","Gearrin","3:44","N",16976,"+",NA
"2773",18,"Thursday Apr 19","boxscore","SFG","@","ARI","L",1,3,NA,"7-11",4,"6.0","Greinke","Blach","Boxberger","2:23","N",18736,"-",NA
"2774",19,"Friday Apr 20","boxscore","SFG","@","LAA","W",8,1,NA,"8-11",4,"5.0","Samardzija","Heaney","","2:50","N",37494,"+",NA
"2775",20,"Saturday Apr 21","boxscore","SFG","@","LAA","L",3,4,NA,"8-12",4,"6.0","Richards","Holland","Middleton","2:58","N",42666,"-",NA
"2776",21,"Sunday Apr 22","boxscore","SFG","@","LAA","W",4,2,NA,"9-12",4,"6.0","Cueto","Barria","Strickland","3:45","D",44544,"+",NA
"2777",22,"Monday Apr 23","boxscore","SFG","","WSN","W",4,2,NA,"10-12",4,"5.5","Stratton","Gonzalez","Strickland","2:44","N",36983,"++",NA
"2778",23,"Tuesday Apr 24","boxscore","SFG","","WSN","W",4,3,NA,"11-12",4,"5.5","Moronta","Roark","Strickland","2:27","N",37147,"+++",NA
"2779",24,"Wednesday Apr 25","boxscore","SFG","","WSN","L",2,15,NA,"11-13",4,"5.5","Scherzer","Samardzija","","3:13","D",35126,"-",NA
"2780",25,"Friday Apr 27","boxscore","SFG","","LAD","W",6,4,NA,"12-13",3,"6.0","Dyson","Cingrani","Strickland","3:27","N",41936,"+",NA
"2781",26,"Saturday Apr 28 (1)","boxscore","SFG","","LAD","L",6,15,NA,"12-14",3,"6.5","Buehler","Stratton","","3:53","D",41809,"-",NA
"2782",27,"Saturday Apr 28 (2)","boxscore","SFG","","LAD","W",8,3,NA,"13-14",3,"6.5","Cueto","Wood","","2:58","N",40608,"+",NA
"2783",28,"Sunday Apr 29","boxscore","SFG","","LAD","W",4,2,NA,"14-14",3,"5.5","Blach","Maeda","Strickland","2:40","D",42020,"++",NA
"2784",29,"Monday Apr 30","boxscore","SFG","","SDP","W-wo",6,5,NA,"15-14",2,"5.5","Johnson","Hand","","3:19","N",35470,"+++",NA
"2785",30,"Tuesday May 1","boxscore","SFG","","SDP","L",2,3,NA,"15-15",3,"6.5","Yates","Strickland","Hand","2:24","N",36735,"-",NA
"2786",31,"Wednesday May 2","boxscore","SFG","","SDP","W",9,4,NA,"16-15",3,"5.5","Holland","Richard","","3:02","D",36475,"+",NA
"2787",32,"Friday May 4","boxscore","SFG","@","ATL","W",9,4,NA,"17-15",3,"4.0","Stratton","Foltynewicz","","2:45","N",41807,"++",NA
"2788",33,"Saturday May 5","boxscore","SFG","@","ATL","W",11,2,NA,"18-15",3,"4.0","Blach","McCarthy","","2:58","N",38264,"+++",NA
"2789",34,"Sunday May 6","boxscore","SFG","@","ATL","W",4,3,NA,"19-15",3,"4.0","Suarez","Soroka","Strickland","3:09","D",37896,"++++",NA
"2790",35,"Monday May 7","boxscore","SFG","@","PHI","L",0,11,NA,"19-16",3,"4.5","Eflin","Samardzija","","3:05","N",17050,"-",NA
"2791",36,"Tuesday May 8","boxscore","SFG","@","PHI","L",2,4,NA,"19-17",3,"5.5","Nola","Holland","Neris","2:53","N",22456,"--",NA
"2792",37,"Wednesday May 9","boxscore","SFG","@","PHI","L",3,11,NA,"19-18",3,"5.5","Pivetta","Stratton","","3:19","N",18448,"---",NA
"2793",38,"Thursday May 10","boxscore","SFG","@","PHI","L",3,6,NA,"19-19",3,"5.5","Velasquez","Blach","Neris","2:47","D",30204,"----",NA
"2794",39,"Friday May 11","boxscore","SFG","@","PIT","L",2,11,NA,"19-20",3,"5.5","Brault","Suarez","","3:20","N",34720,"-----",NA
"2795",40,"Saturday May 12","boxscore","SFG","@","PIT","L",5,6,NA,"19-21",3,"5.5","Vazquez","Watson","","3:14","N",27502,"------",NA
"2796",41,"Sunday May 13","boxscore","SFG","@","PIT","W",5,0,NA,"20-21",3,"4.5","Holland","Nova","","3:04","D",22649,"+",NA
"2797",42,"Monday May 14","boxscore","SFG","","CIN","W",10,7,NA,"21-21",3,"3.5","Stratton","Romano","","3:02","N",36156,"++",NA
"2798",43,"Tuesday May 15","boxscore","SFG","","CIN","W",5,3,NA,"22-21",3,"3.5","Johnson","Mahle","Strickland","2:53","N",37809,"+++",NA
"2799",44,"Wednesday May 16","boxscore","SFG","","CIN","L",3,6,NA,"22-22",3,"3.5","Hughes","Suarez","Iglesias","2:41","D",38662,"-",NA
"2800",45,"Thursday May 17","boxscore","SFG","","COL","L",3,5,12,"22-23",3,"4.0","McGee","Johnson","Davis","4:00","N",37224,"--",NA
"2801",46,"Friday May 18","boxscore","SFG","","COL","L",1,6,NA,"22-24",3,"4.0","Freeland","Holland","","3:00","N",40970,"---",NA
"2802",47,"Saturday May 19","boxscore","SFG","","COL","W",9,4,NA,"23-24",3,"3.0","Stratton","Gray","","3:05","D",39195,"+",NA
"2803",48,"Sunday May 20","boxscore","SFG","","COL","W",9,5,NA,"24-24",3,"2.0","Dyson","Shaw","","3:25","D",40334,"++",NA
"2804",49,"Tuesday May 22","boxscore","SFG","@","HOU","L",2,11,NA,"24-25",3,"2.0","Cole","Suarez","","3:05","N",35638,"-",NA
"2805",50,"Wednesday May 23","boxscore","SFG","@","HOU","L",1,4,NA,"24-26",3,"2.0","Verlander","Samardzija","Giles","2:56","D",31929,"--",NA
"2806",51,"Friday May 25","boxscore","SFG","@","CHC","L",2,6,NA,"24-27",3,"3.0","Hendricks","Holland","Morrow","2:46","D",41177,"---",NA
"2807",52,"Saturday May 26","boxscore","SFG","@","CHC","W",5,4,NA,"25-27",3,"2.0","Stratton","Quintana","Strickland","3:04","N",41250,"+",NA
"2808",53,"Sunday May 27","boxscore","SFG","@","CHC","L",3,8,NA,"25-28",3,"3.0","Rosario","Blach","","3:31","N",41587,"-",NA
"2809",54,"Monday May 28","boxscore","SFG","@","COL","L-wo",5,6,10,"25-29",4,"4.0","Shaw","Strickland","","3:31","N",32409,"--",NA
"2810",55,"Tuesday May 29","boxscore","SFG","@","COL","L",4,11,NA,"25-30",4,"5.0","Freeland","Samardzija","","3:17","N",27348,"---",NA
"2811",56,"Wednesday May 30","boxscore","SFG","@","COL","W",7,4,NA,"26-30",4,"4.0","Holland","Musgrave","Strickland","3:11","N",29400,"+",NA
"2812",57,"Friday Jun 1","boxscore","SFG","","PHI","W",4,0,NA,"27-30",3,"3.0","Stratton","Pivetta","","2:49","N",38119,"++",NA
"2813",58,"Saturday Jun 2","boxscore","SFG","","PHI","W",2,0,NA,"28-30",3,"2.5","Suarez","Velasquez","Strickland","2:24","N",39208,"+++",NA
"2814",59,"Sunday Jun 3","boxscore","SFG","","PHI","W",6,1,NA,"29-30",3,"2.5","Rodriguez","Arrieta","","2:28","D",40491,"++++",NA
"2815",60,"Monday Jun 4","boxscore","SFG","","ARI","W",10,3,NA,"30-30",3,"1.5","Johnson","Godley","","3:11","N",36542,"+++++",NA
"2816",61,"Tuesday Jun 5","boxscore","SFG","","ARI","L",2,3,NA,"30-31",4,"2.5","Corbin","Bumgarner","Boxberger","3:05","N",36925,"-",NA
"2817",62,"Wednesday Jun 6","boxscore","SFG","","ARI","W-wo",5,4,10,"31-31",3,"1.5","Strickland","Chafin","","3:38","D",41042,"+",NA
"2818",63,"Friday Jun 8","boxscore","SFG","@","WSN","W",9,5,NA,"32-31",2,"1.5","Moronta","Strasburg","","3:04","N",41591,"++",NA
"2819",64,"Saturday Jun 9","boxscore","SFG","@","WSN","L",5,7,NA,"32-32",2,"2.5","Miller","Rodriguez","Doolittle","3:23","D",37701,"-",NA
"2820",65,"Sunday Jun 10","boxscore","SFG","@","WSN","W",2,0,NA,"33-32",2,"2.5","Holland","Scherzer","Strickland","2:51","D",35705,"+",NA
"2821",66,"Monday Jun 11","boxscore","SFG","@","MIA","L",5,7,NA,"33-33",3,"3.5","Conley","Dyson","Barraclough","3:03","N",6023,"-",NA
"2822",67,"Tuesday Jun 12","boxscore","SFG","@","MIA","L",1,3,NA,"33-34",3,"4.5","Richards","Stratton","Barraclough","2:35","N",5928,"--",NA
"2823",68,"Wednesday Jun 13","boxscore","SFG","@","MIA","L-wo",4,5,NA,"33-35",4,"4.5","Steckenrider","Moronta","","3:13","N",6075,"---",NA
"2824",69,"Thursday Jun 14","boxscore","SFG","@","MIA","W",6,3,16,"34-35",3,"4.5","Blach","Hernandez","Dyson","4:49","D",9726,"+",NA
"2825",70,"Friday Jun 15","boxscore","SFG","@","LAD","L",2,3,NA,"34-36",4,"5.5","Stripling","Holland","Jansen","2:53","N",53433,"-",NA
"2826",71,"Saturday Jun 16","boxscore","SFG","@","LAD","L",1,3,NA,"34-37",4,"5.5","Wood","Bumgarner","Jansen","2:50","N",53706,"--",NA
"2827",72,"Sunday Jun 17","boxscore","SFG","@","LAD","W",4,1,NA,"35-37",3,"4.5","Stratton","Ferguson","","2:54","D",49541,"+",NA
"2828",73,"Monday Jun 18","boxscore","SFG","","MIA","L",4,5,NA,"35-38",3,"5.5","Guerrero","Strickland","Barraclough","2:47","N",36743,"-",NA
"2829",74,"Tuesday Jun 19","boxscore","SFG","","MIA","W",6,3,NA,"36-38",3,"4.5","Rodriguez","Straily","Dyson","2:51","N",37242,"+",NA
"2830",75,"Wednesday Jun 20","boxscore","SFG","","MIA","W",6,5,NA,"37-38",3,"4.0","Holland","Urena","Moronta","3:04","D",35903,"++",NA
"2831",76,"Thursday Jun 21","boxscore","SFG","","SDP","W",3,0,NA,"38-38",3,"4.0","Bumgarner","Ross","Melancon","2:23","N",37497,"+++",NA
"2832",77,"Friday Jun 22","boxscore","SFG","","SDP","L",2,6,NA,"38-39",4,"5.0","Richard","Stratton","","2:53","N",40546,"-",NA
"2833",78,"Saturday Jun 23","boxscore","SFG","","SDP","W",5,3,NA,"39-39",3,"5.0","Moronta","Cimber","","2:36","D",40348,"+",NA
"2834",79,"Sunday Jun 24","boxscore","SFG","","SDP","W-wo",3,2,11,"40-39",3,"5.0","Blach","Hand","","3:02","D",39230,"++",NA
"2835",80,"Tuesday Jun 26","boxscore","SFG","","COL","W",3,2,NA,"41-39",3,"4.5","Watson","Ottavino","Dyson","2:57","N",36070,"+++",NA
"2836",81,"Wednesday Jun 27","boxscore","SFG","","COL","W-wo",1,0,NA,"42-39",3,"4.5","Moronta","Musgrave","","2:34","N",36046,"++++",NA
"2837",82,"Thursday Jun 28","boxscore","SFG","","COL","L",8,9,NA,"42-40",3,"5.5","Ottavino","Dyson","Davis","3:10","D",37529,"-",NA
"2838",83,"Friday Jun 29","boxscore","SFG","@","ARI","W",2,1,NA,"43-40",3,"4.5","Suarez","Chafin","Smith","2:49","N",30981,"+",NA
"2839",84,"Saturday Jun 30","boxscore","SFG","@","ARI","W",7,0,NA,"44-40",2,"3.5","Rodriguez","Miller","","2:51","N",38117,"++",NA
"2840",85,"Sunday Jul 1","boxscore","SFG","@","ARI","W",9,6,NA,"45-40",2,"2.5","Gearrin","Godley","Smith","3:45","D",29721,"+++",NA
"2841",86,"Monday Jul 2","boxscore","SFG","@","COL","L",2,5,NA,"45-41",3,"2.5","Freeland","Bumgarner","Davis","2:45","N",40333,"-",NA
"2842",87,"Tuesday Jul 3","boxscore","SFG","@","COL","L",1,8,NA,"45-42",3,"3.5","Senzatela","Stratton","","2:51","N",48072,"--",NA
"2843",88,"Wednesday Jul 4","boxscore","SFG","@","COL","L",0,1,NA,"45-43",3,"3.5","Anderson","Suarez","Davis","2:15","N",48158,"---",NA
"2844",89,"Thursday Jul 5","boxscore","SFG","","STL","L",2,11,NA,"45-44",3,"3.5","Weaver","Cueto","","2:35","N",38766,"----",NA
"2845",90,"Friday Jul 6","boxscore","SFG","","STL","W",3,2,NA,"46-44",3,"3.5","Moronta","Brebbia","Smith","2:26","N",37996,"+",NA
"2846",91,"Saturday Jul 7","boxscore","SFG","","STL","L",2,3,NA,"46-45",4,"4.5","Martinez","Samardzija","Norris","2:51","D",39606,"-",NA
"2847",92,"Sunday Jul 8","boxscore","SFG","","STL","W",13,8,NA,"47-45",3,"3.5","Bumgarner","Brebbia","","3:47","D",38855,"+",NA
"2848",93,"Monday Jul 9","boxscore","SFG","","CHC","W-wo",2,1,11,"48-45",3,"3.0","Blach","Cishek","","3:09","N",38024,"++",NA
"2849",94,"Tuesday Jul 10","boxscore","SFG","","CHC","L",0,2,NA,"48-46",3,"4.0","Quintana","Holland","Cishek","2:43","N",39113,"-",NA
"2850",95,"Wednesday Jul 11","boxscore","SFG","","CHC","W-wo",5,4,13,"49-46",3,"3.0","Rodriguez","Norwood","","4:30","D",41099,"+",NA
"2851",96,"Friday Jul 13","boxscore","SFG","","OAK","W",7,1,NA,"50-46",3,"3.0","Bumgarner","Jackson","","3:16","N",41751,"++",NA
"2852",97,"Saturday Jul 14","boxscore","SFG","","OAK","L",3,4,NA,"50-47",4,"3.5","Petit","Watson","Treinen","3:10","N",41970,"-",NA
"2853",98,"Sunday Jul 15","boxscore","SFG","","OAK","L",2,6,NA,"50-48",4,"4.0","Manaea","Suarez","","2:44","D",42098,"--",NA
"2854",99,"Friday Jul 20","boxscore","SFG","@","OAK","W",5,1,NA,"51-48",4,"4.0","Rodriguez","Jackson","","2:47","N",45606,"+",NA
"2855",100,"Saturday Jul 21","boxscore","SFG","@","OAK","L-wo",3,4,11,"51-49",4,"4.0","Petit","Smith","","4:04","N",56310,"-",NA
"2856",101,"Sunday Jul 22","boxscore","SFG","@","OAK","L-wo",5,6,10,"51-50",4,"5.0","Familia","Blach","","3:19","D",44374,"--",NA
"2857",102,"Tuesday Jul 24","boxscore","SFG","@","SEA","W",4,3,NA,"52-50",4,"4.5","Watson","Diaz","Smith","2:58","N",40276,"+",NA
"2858",103,"Wednesday Jul 25","boxscore","SFG","@","SEA","L",2,3,NA,"52-51",4,"4.5","Colome","Watson","Diaz","2:37","D",45548,"-",NA
"2859",104,"Thursday Jul 26","boxscore","SFG","","MIL","L",5,7,NA,"52-52",4,"5.5","Hader","Melancon","Knebel","3:22","N",40643,"--",NA
"2860",105,"Friday Jul 27","boxscore","SFG","","MIL","L",1,3,NA,"52-53",4,"6.5","Anderson","Bumgarner","Knebel","2:33","N",40414,"---",NA
"2861",106,"Saturday Jul 28","boxscore","SFG","","MIL","L",1,7,NA,"52-54",4,"7.5","Chacin","Cueto","","2:34","N",40735,"----",NA
"2862",107,"Sunday Jul 29","boxscore","SFG","","MIL","W",8,5,NA,"53-54",4,"6.5","Suarez","Guerra","Smith","3:12","D",41312,"+",NA
"2863",108,"Monday Jul 30","boxscore","SFG","@","SDP","W",5,3,12,"54-54",4,"5.5","Smith","Strahm","","4:01","N",31725,"++",NA
"2864",109,"Tuesday Jul 31","boxscore","SFG","@","SDP","W",3,2,10,"55-54",4,"5.0","Watson","Maton","Smith","3:05","D",29209,"+++",NA
"2865",110,"Thursday Aug 2","boxscore","SFG","@","ARI","W",8,1,NA,"56-54",4,"5.0","Bumgarner","Greinke","","3:26","N",22980,"++++",NA
"2866",111,"Friday Aug 3","boxscore","SFG","@","ARI","L",3,6,NA,"56-55",4,"5.0","Corbin","Stratton","Boxberger","2:59","N",27581,"-",NA
"2867",112,"Saturday Aug 4","boxscore","SFG","@","ARI","L",3,9,NA,"56-56",4,"6.0","Buchholz","Suarez","","2:59","N",38093,"--",NA
"2868",113,"Sunday Aug 5","boxscore","SFG","@","ARI","W",3,2,NA,"57-56",4,"5.0","Black","Bradley","Smith","3:15","D",27884,"+",NA
"2869",114,"Monday Aug 6","boxscore","SFG","","HOU","L",1,3,NA,"57-57",4,"6.0","Osuna","Smith","Rondon","2:26","N",40251,"-",NA
"2870",115,"Tuesday Aug 7","boxscore","SFG","","HOU","L",1,2,NA,"57-58",4,"6.5","Smith","Black","Rondon","3:02","D",41613,"--",NA
"2871",116,"Thursday Aug 9","boxscore","SFG","","PIT","L",5,10,NA,"57-59",4,"7.0","Nova","Suarez","","3:00","N",40035,"---",NA
"2872",117,"Friday Aug 10","boxscore","SFG","","PIT","W",13,10,NA,"58-59",4,"6.0","Holland","Holmes","","3:44","N",41762,"+",NA
"2873",118,"Saturday Aug 11","boxscore","SFG","","PIT","L",0,4,NA,"58-60",4,"6.0","Williams","Blach","","2:18","N",41209,"-",NA
"2874",119,"Sunday Aug 12","boxscore","SFG","","PIT","W",4,3,NA,"59-60",4,"6.0","Rodriguez","Musgrove","Smith","2:40","D",41980,"+",NA
"2875",120,"Monday Aug 13","boxscore","SFG","@","LAD","W",5,2,NA,"60-60",4,"5.0","Black","Alexander","Smith","3:05","N",45229,"++",NA
"2876",121,"Tuesday Aug 14","boxscore","SFG","@","LAD","W",2,1,NA,"61-60",4,"5.0","Dyson","Maeda","Smith","3:09","N",46734,"+++",NA
"2877",122,"Wednesday Aug 15","boxscore","SFG","@","LAD","L-wo",3,4,12,"61-61",4,"5.5","Baez","Kelly","","4:05","N",44987,"-",NA
