"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"106",106,"Saturday Jul 28","boxscore","ARI","@","SDP","W",9,4,NA,"58-48",2,"1.5","Bradley","Maton","","3:15","N",37149,"++",NA
"107",107,"Sunday Jul 29","boxscore","ARI","@","SDP","W",5,4,NA,"59-48",2,"0.5","Buchholz","Lucchesi","Boxberger","3:18","D",32529,"+++",NA
"108",108,"Monday Jul 30","boxscore","ARI","","TEX","L",5,9,NA,"59-49",2,"0.5","Butler","Andriese","","3:33","N",20639,"-",NA
"109",109,"Tuesday Jul 31","boxscore","ARI","","TEX","W",6,0,NA,"60-49",1,"up 0.5","Godley","Colon","","2:45","N",21877,"+",NA
"110",110,"Thursday Aug 2","boxscore","ARI","","SFG","L",1,8,NA,"60-50",2,"1.0","Bumgarner","Greinke","","3:26","N",22980,"-",NA
"111",111,"Friday Aug 3","boxscore","ARI","","SFG","W",6,3,NA,"61-50",1,"Tied","Corbin","Stratton","Boxberger","2:59","N",27581,"+",NA
"112",112,"Saturday Aug 4","boxscore","ARI","","SFG","W",9,3,NA,"62-50",1,"up 1.0","Buchholz","Suarez","","2:59","N",38093,"++",NA
"113",113,"Sunday Aug 5","boxscore","ARI","","SFG","L",2,3,NA,"62-51",1,"Tied","Black","Bradley","Smith","3:15","D",27884,"-",NA
"114",114,"Monday Aug 6","boxscore","ARI","","PHI","W-wo",3,2,14,"63-51",1,"up 0.5","Hirano","Davis","","4:38","N",21131,"+",NA
"115",115,"Tuesday Aug 7","boxscore","ARI","","PHI","L",2,5,NA,"63-52",2,"0.5","Pivetta","Greinke","Neshek","3:08","N",22382,"-",NA
"116",116,"Wednesday Aug 8","boxscore","ARI","","PHI","W",6,0,NA,"64-52",1,"up 0.5","Corbin","Velasquez","","2:58","D",23384,"+",NA
"117",117,"Friday Aug 10","boxscore","ARI","@","CIN","L",0,3,NA,"64-53",1,"Tied","DeSclafani","Buchholz","Iglesias","2:30","N",19089,"-",NA
"118",118,"Saturday Aug 11","boxscore","ARI","@","CIN","L",3,6,NA,"64-54",1,"Tied","Garrett","Bradley","Iglesias","3:04","N",29348,"--",NA
"119",119,"Sunday Aug 12","boxscore","ARI","@","CIN","W",9,2,NA,"65-54",1,"up 1.0","Godley","Castillo","","2:53","D",17909,"+",NA
"120",120,"Monday Aug 13","boxscore","ARI","@","TEX","L",3,5,NA,"65-55",1,"up 1.0","Colon","Greinke","Leclerc","2:51","N",18204,"-",NA
"121",121,"Tuesday Aug 14","boxscore","ARI","@","TEX","W",6,4,NA,"66-55",1,"up 1.0","Corbin","Gallardo","Boxberger","3:08","N",19353,"+",NA
"122",122,"Thursday Aug 16","boxscore","ARI","@","SDP","W",5,1,NA,"67-55",1,"up 1.5","Buchholz","Nix","","3:00","N",20617,"++",NA
"123",123,"Friday Aug 17","boxscore","ARI","@","SDP","W",9,4,NA,"68-55",1,"up 1.5","Hirano","Lucchesi","","3:46","N",20010,"+++",NA
"124",124,"Saturday Aug 18","boxscore","ARI","@","SDP","L-wo",6,7,NA,"68-56",1,"up 0.5","Stammen","Chafin","","2:54","N",24440,"-",NA
"125",125,"Sunday Aug 19","boxscore","ARI","@","SDP","W",4,3,NA,"69-56",1,"up 0.5","Bradley","Yates","Boxberger","3:09","D",22346,"+",NA
"126",126,"Tuesday Aug 21","boxscore","ARI","","LAA","W-wo",5,4,NA,"70-56",1,"up 1.5","Boxberger","Bedrosian","","2:54","N",30420,"++",NA
"127",127,"Wednesday Aug 22","boxscore","ARI","","LAA","W",5,1,NA,"71-56",1,"up 1.5","Buchholz","Despaigne","","3:05","N",23584,"+++",NA
"128",128,"Friday Aug 24","boxscore","ARI","","SEA","L",3,6,NA,"71-57",1,"up 1.0","Ramirez","Godley","Diaz","2:47","N",43867,"-",NA
"129",129,"Saturday Aug 25","boxscore","ARI","","SEA","L",3,4,10,"71-58",1,"Tied","Colome","Diekman","Diaz","4:11","N",34968,"--",NA
"130",130,"Sunday Aug 26","boxscore","ARI","","SEA","W",5,2,NA,"72-58",1,"up 1.0","Greinke","Leake","Boxberger","2:48","D",37175,"+",NA
"131",131,"Monday Aug 27","boxscore","ARI","@","SFG","L",0,2,NA,"72-59",1,"up 1.0","Stratton","Corbin","Strickland","2:32","N",38808,"-",NA
"132",132,"Tuesday Aug 28","boxscore","ARI","@","SFG","L-wo",0,1,NA,"72-60",1,"Tied","Smith","Ziegler","","3:03","N",37276,"--",NA
