Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
99,Saturday Jul 21,boxscore,TEX,,CLE,L,3,16,,41-58,5,24.0,Carrasco,Colon,,3:11,N,31532,----,
100,Sunday Jul 22,boxscore,TEX,,CLE,W,5,0,,42-58,5,23.0,Gallardo,Clevinger,,2:33,D,21829,+,
101,Monday Jul 23,boxscore,TEX,,OAK,L,3,15,,42-59,5,23.5,Anderson,Hamels,,3:13,N,18744,-,
102,Tuesday Jul 24,boxscore,TEX,,OAK,L,10,13,10,42-60,5,24.5,Familia,Bibens-Dirkx,Treinen,4:08,N,18249,--,
103,Wednesday Jul 25,boxscore,TEX,,OAK,L,5,6,,42-61,5,24.5,Trivino,Leclerc,Treinen,3:48,N,20549,---,
104,Thursday Jul 26,boxscore,TEX,,OAK,L,6,7,,42-62,5,25.0,Cahill,Colon,Treinen,3:27,N,20533,----,
105,Friday Jul 27,boxscore,TEX,@,HOU,W,11,2,,43-62,5,24.0,Gallardo,Keuchel,,3:23,N,42592,+,
106,Saturday Jul 28,boxscore,TEX,@,HOU,W,7,3,,44-62,5,23.0,Jurado,Verlander,,2:44,N,43093,++,
107,Sunday Jul 29,boxscore,TEX,@,HOU,W,4,3,,45-62,5,22.0,Minor,McCullers,Kela,3:01,D,40560,+++,
108,Monday Jul 30,boxscore,TEX,@,ARI,W,9,5,,46-62,5,21.0,Butler,Andriese,,3:33,N,20639,++++,
109,Tuesday Jul 31,boxscore,TEX,@,ARI,L,0,6,,46-63,5,22.0,Godley,Colon,,2:45,N,21877,-,
110,Thursday Aug 2,boxscore,TEX,,BAL,W,17,8,,47-63,5,22.0,Gallardo,Cashner,Butler,3:20,N,19367,+,
111,Friday Aug 3,boxscore,TEX,,BAL,W,11,3,,48-63,5,22.0,Jurado,Hess,,3:03,N,22544,++,
112,Saturday Aug 4,boxscore,TEX,,BAL,W,3,1,,49-63,5,22.0,Minor,Bundy,Leclerc,2:25,N,24300,+++,
113,Sunday Aug 5,boxscore,TEX,,BAL,L,6,9,,49-64,5,22.0,Scott,Hutchison,Givens,3:19,D,19961,-,
114,Monday Aug 6,boxscore,TEX,,SEA,L,3,4,12,49-65,5,23.0,Tuivailala,Butler,Diaz,3:54,N,17759,--,
115,Tuesday Aug 7,boxscore,TEX,,SEA,W,11,4,,50-65,5,23.0,Colon,Hernandez,,2:26,N,17575,+,
116,Wednesday Aug 8,boxscore,TEX,,SEA,W,11,7,,51-65,5,22.5,Gallardo,Gonzales,,3:13,D,20116,++,
117,Thursday Aug 9,boxscore,TEX,@,NYY,L,3,7,,51-66,5,22.5,Happ,Jurado,,2:31,N,43455,-,
118,Friday Aug 10,boxscore,TEX,@,NYY,W,12,7,,52-66,5,21.5,Minor,Tanaka,,3:34,N,45198,+,
119,Saturday Aug 11,boxscore,TEX,@,NYY,L,3,5,,52-67,5,21.5,Betances,Martin,Chapman,3:16,D,45933,-,
120,Sunday Aug 12,boxscore,TEX,@,NYY,L,2,7,,52-68,5,21.5,Sabathia,Perez,,2:59,D,41304,--,
121,Monday Aug 13,boxscore,TEX,,ARI,W,5,3,,53-68,5,21.0,Colon,Greinke,Leclerc,2:51,N,18204,+,
122,Tuesday Aug 14,boxscore,TEX,,ARI,L,4,6,,53-69,5,21.0,Corbin,Gallardo,Boxberger,3:08,N,19353,-,
123,Thursday Aug 16,boxscore,TEX,,LAA,W,8,6,,54-69,5,21.0,Moore,Anderson,Leclerc,2:53,N,18398,+,
124,Friday Aug 17,boxscore,TEX,,LAA,W,6,4,,55-69,5,20.0,Hutchison,Despaigne,Leclerc,2:56,N,27816,++,
125,Saturday Aug 18,boxscore,TEX,,LAA,L,7,11,,55-70,5,20.0,Bedrosian,Butler,,3:28,N,24768,-,
126,Sunday Aug 19,boxscore,TEX,,LAA,W,4,2,,56-70,5,20.0,Moore,Ramirez,Leclerc,2:35,D,26681,+,
127,Monday Aug 20,boxscore,TEX,@,OAK,L,0,9,,56-71,5,20.0,Fiers,Colon,,2:48,N,9341,-,
128,Tuesday Aug 21,boxscore,TEX,@,OAK,L,0,6,,56-72,5,21.0,Anderson,Jurado,,2:26,N,11579,--,
129,Wednesday Aug 22,boxscore,TEX,@,OAK,W,4,2,,57-72,5,21.0,Minor,Jackson,Leclerc,3:03,D,13139,+,
130,Friday Aug 24,boxscore,TEX,@,SFG,W,7,6,10,58-72,5,21.0,Gearrin,Dyson,Leclerc,3:48,N,39845,++,
131,Saturday Aug 25,boxscore,TEX,@,SFG,L,3,5,,58-73,5,22.0,Suarez,Perez,Melancon,3:08,D,40287,-,
132,Sunday Aug 26,boxscore,TEX,@,SFG,L,1,3,,58-74,5,23.0,Holland,Gallardo,Melancon,2:35,D,39260,--,
133,Tuesday Aug 28,boxscore,TEX,,LAD,L,4,8,,58-75,5,23.5,Ferguson,Jurado,,3:19,N,30123,---,
134,Wednesday Aug 29,boxscore,TEX,,LAD,L,1,3,,58-76,5,24.5,Wood,Minor,Maeda,2:49,N,29181,----,
135,Friday Aug 31,boxscore,TEX,,MIN,L,7,10,,58-77,5,24.0,Magill,Moore,,3:42,N,22808,-----,
136,Saturday Sep 1,boxscore,TEX,,MIN,W,7,4,,59-77,5,24.0,Gallardo,Berrios,Leclerc,2:52,N,32175,+,
137,Sunday Sep 2,boxscore,TEX,,MIN,W,18,4,,60-77,5,24.0,Mendez,Moya,Butler,3:09,D,23423,++,
138,Monday Sep 3,boxscore,TEX,,LAA,L,1,3,,60-78,5,25.0,Cole,Curtis,Parker,3:10,N,21048,-,
139,Tuesday Sep 4,boxscore,TEX,,LAA,W,4,2,,61-78,5,25.0,Minor,Heaney,Leclerc,2:44,N,17625,+,
140,Wednesday Sep 5,boxscore,TEX,,LAA,L,3,9,,61-79,5,26.0,Barria,Colon,,3:12,N,19966,-,
141,Friday Sep 7,boxscore,TEX,@,OAK,L,4,8,,61-80,5,27.0,Petit,Gallardo,,3:17,N,15572,--,
142,Saturday Sep 8,boxscore,TEX,@,OAK,L,6,8,,61-81,5,28.0,Buchter,Martin,Treinen,3:25,D,20504,---,
143,Sunday Sep 9,boxscore,TEX,@,OAK,L,3,7,,61-82,5,28.0,Kelley,Jurado,,2:59,D,27932,----,
144,Monday Sep 10,boxscore,TEX,@,LAA,W,5,2,,62-82,5,28.0,Minor,Barria,Leclerc,3:10,N,32891,+,
145,Tuesday Sep 11,boxscore,TEX,@,LAA,L,0,1,,62-83,5,29.0,Ramirez,Sampson,Buttrey,2:45,N,33756,-,
146,Wednesday Sep 12,boxscore,TEX,@,LAA,L,1,8,,62-84,5,30.0,Pena,Gallardo,,2:50,N,33028,--,
147,Friday Sep 14,boxscore,TEX,@,SDP,W,4,0,,63-84,5,29.0,Mendez,Erlin,,2:42,N,22740,+,
148,Saturday Sep 15,boxscore,TEX,@,SDP,W,6,3,,64-84,5,29.0,Jurado,Castillo,Leclerc,3:10,N,28833,++,
149,Sunday Sep 16,boxscore,TEX,@,SDP,L-wo,3,7,,64-85,5,30.0,Yates,Springs,,3:15,D,22242,-,
150,Monday Sep 17,boxscore,TEX,,TBR,L,0,3,,64-86,5,30.0,Glasnow,Sampson,Romo,2:41,N,21840,--,
151,Tuesday Sep 18,boxscore,TEX,,TBR,L,0,4,,64-87,5,31.0,Snell,Gallardo,,3:04,N,23523,---,
152,Wednesday Sep 19,boxscore,TEX,,TBR,L,3,9,,64-88,5,31.0,Yarbrough,Mendez,,2:55,D,25168,----,
153,Friday Sep 21,boxscore,TEX,,SEA,W,8,3,7,65-88,5,31.0,Jurado,Ramirez,,2:17,N,29420,+,
154,Saturday Sep 22,boxscore,TEX,,SEA,L,0,13,,65-89,5,32.0,Gonzales,Minor,,3:07,N,31158,-,
155,Sunday Sep 23,boxscore,TEX,,SEA,W,6,1,,66-89,5,32.0,Springs,LeBlanc,,2:56,D,31269,+,
156,Monday Sep 24,boxscore,TEX,@,LAA,L-wo,4,5,11,66-90,5,33.0,Cole,Moore,,3:12,N,29052,-,
157,Tuesday Sep 25,boxscore,TEX,@,LAA,L,1,4,,66-91,5,34.0,Ramirez,Gallardo,Robles,3:01,N,36308,--,
158,Wednesday Sep 26,boxscore,TEX,@,LAA,L,2,3,,66-92,5,34.0,Alvarez,Martin,Johnson,2:41,N,35991,---,
159,Thursday Sep 27,boxscore,TEX,@,SEA,W,2,0,,67-92,5,33.5,Jurado,Duke,Leclerc,2:36,N,15799,+,
160,Friday Sep 28,boxscore,TEX,@,SEA,L,6,12,,67-93,5,34.5,LeBlanc,Perez,,3:47,N,23598,-,
161,Saturday Sep 29,boxscore,TEX,@,SEA,L,1,4,,67-94,5,36.0,Vincent,Sampson,Diaz,2:37,N,31780,--,
162,Sunday Sep 30,boxscore,TEX,@,SEA,L,1,3,,67-95,5,36.0,Elias,Gallardo,Armstrong,2:14,D,21146,---,
